id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
400	Sanicula peckiana	150	800	yes	yes
401	Sanicula saxatilis	900	1100	yes	yes
402	Sanicula tracyi	100	1000	yes	yes
403	Sanicula tuberosa	150	2700	no	yes
404	Scandix pecten-veneris	15	1000	no	no
405	Sium suave	0	2000	no	yes
406	Spermolepis echinata	60	1500	no	yes
407	Sphenosciadium capitellatum	900	3000	no	yes
408	Tauschia arguta	100	1500	yes	yes
409	Tauschia glauca	80	1700	yes	yes
410	Tauschia hartwegii	300	1500	yes	yes
411	Tauschia howellii	2000	2500	yes	yes
412	Tauschia kelloggii	50	1700	yes	yes
413	Tauschia parishii	1200	2400	no	yes
414	Torilis arvensis	40	1600	no	no
415	Torilis nodosa	0	1500	no	no
416	Yabea microcarpa	0	1500	no	yes
417	Amsonia tomentosa	300	1800	no	yes
418	Apocynum androsaemifolium	200	2500	no	yes
419	Apocynum cannabinum	0	2000	no	yes
420	Catharanthus roseus	110	210	no	no
421	Cycladenia humilis	1200	2800	no	yes
422	Cycladenia humilis var. humilis	1200	2800	yes	yes
423	Cycladenia humilis var. venusta	1550	2500	no	yes
424	Vinca major	2	200	no	no
425	Ilex aquifolium	0	200	no	no
426	Aralia californica	0	2000	yes	yes
427	Hedera helix	0	1000	no	no
428	Aristolochia californica	0	700	yes	yes
429	Asarum caudatum	0	2200	no	yes
430	Asarum hartwegii	150	2200	yes	yes
431	Asarum lemmonii	1100	1900	yes	yes
432	Asarum marmoratum	200	1800	yes	yes
433	Araujia sericifera	100	400	no	no
434	Asclepias albicans	200	1100	no	yes
435	Asclepias asperula ssp. asperula	1500	2000	no	yes
436	Asclepias californica	200	2100	no	yes
437	Asclepias cordifolia	50	2000	no	yes
438	Asclepias cryptoceras	1400	1700	no	yes
439	Asclepias curassavica	0	2000	no	no
440	Asclepias eriocarpa	200	1900	no	yes
441	Asclepias erosa	150	1900	no	yes
442	Asclepias fascicularis	50	2200	no	yes
443	Asclepias linaria	1000	1400	no	yes
444	Asclepias nyctaginifolia	1000	1700	no	yes
445	Asclepias solanoana	700	1600	yes	yes
446	Asclepias speciosa	0	1900	no	yes
447	Asclepias subulata	0	700	no	yes
448	Asclepias vestita	50	1350	no	yes
449	Cynanchum utahense	0	1000	no	yes
450	Matelea parvifolia	700	1000	no	yes
451	Sarcostemma cynanchoides ssp. hartwegii	30	1600	no	yes
452	Sarcostemma hirtellum	150	1200	no	yes
453	Acamptopappus shockleyi	500	2000	no	yes
454	Acamptopappus sphaerocephalus	60	2200	no	yes
455	Acamptopappus sphaerocephalus var. hirtellus	0	1600	no	yes
456	Acamptopappus sphaerocephalus var. sphaerocephalus	0	2200	no	yes
457	Achillea millefolium	0	3500	no	yes
458	Achyrachaena mollis	0	900	yes	yes
459	Acourtia microcephala	0	1550	yes	yes
460	Acroptilon repens	0	1900	no	no
461	Adenocaulon bicolor	0	2000	no	yes
462	Adenophyllum cooperi	600	1550	no	yes
463	Adenophyllum porophylloides	200	1460	no	yes
464	Ageratina adenophora	0	300	no	no
465	Ageratina herbacea	1600	2200	no	yes
