id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
6446	Penstemon rattanii	0	1200	no	yes
6447	Penstemon rattanii var. kleei	400	1000	yes	yes
6448	Penstemon rattanii var. rattanii	10	1200	no	yes
6449	Penstemon roezlii	700	2500	no	yes
6450	Penstemon rostriflorus	1600	2800	no	yes
6451	Penstemon rupicola	1100	2300	no	yes
6452	Penstemon rydbergii var. oreocharis	1200	3100	no	yes
6453	Penstemon scapoides	2000	3200	no	yes
6454	Penstemon speciosus	1200	3300	no	yes
6455	Penstemon spectabilis	100	2400	no	yes
6456	Penstemon spectabilis var. spectabilis	100	1100	no	yes
6457	Penstemon spectabilis var. subviscosus	500	2400	yes	yes
6458	Penstemon stephensii	1200	1500	no	yes
6459	Penstemon sudans	1200	1700	no	yes
6460	Penstemon thompsoniae	1500	2700	no	yes
6461	Penstemon thurberi	500	1200	no	yes
6462	Penstemon tracyi	2000	2100	yes	yes
6463	Penstemon utahensis	1200	2500	no	yes
6464	Penstemon venustus	900	2200	no	no
6465	Scrophularia atrata	0	500	yes	yes
6466	Scrophularia californica	0	1500	no	yes
6467	Scrophularia californica ssp. californica	0	1500	no	yes
6468	Scrophularia californica ssp. floribunda	0	1500	yes	yes
6469	Scrophularia desertorum	1000	3000	no	yes
6470	Scrophularia lanceolata	1400	2800	no	yes
6471	Scrophularia villosa	0	500	yes	yes
6472	Stemodia durantifolia	0	300	no	yes
6473	Synthyris missurica	2000	2500	no	yes
6474	Synthyris reniformis	0	1500	no	yes
6475	Tonella tenella	0	1600	no	yes
6476	Triphysaria eriantha	0	1300	no	yes
6477	Triphysaria eriantha ssp. eriantha	0	1300	yes	yes
6478	Triphysaria eriantha ssp. rosea	0	100	yes	yes
6479	Triphysaria floribunda	0	100	yes	yes
6480	Triphysaria micrantha	0	1000	yes	yes
6481	Triphysaria pusilla	0	400	no	yes
6482	Triphysaria versicolor	0	500	no	yes
6483	Triphysaria versicolor ssp. faucibarbata	0	500	yes	yes
6484	Triphysaria versicolor ssp. versicolor	0	100	no	yes
6485	Verbascum blattaria	0	1600	no	no
6486	Verbascum speciosum	0	500	no	no
6487	Verbascum thapsus	0	2200	no	no
6488	Verbascum virgatum	0	300	no	no
6489	Veronica americana	0	3300	no	yes
6490	Veronica anagallis-aquatica	0	2500	no	no
6491	Veronica arvensis	0	1500	no	no
6492	Veronica beccabunga	0	2000	no	no
6493	Veronica catenata	0	2500	no	no
6494	Veronica chamaedrys	0	100	no	no
6495	Veronica copelandii	2450	2550	yes	yes
6496	Veronica cusickii	0	3000	no	yes
6497	Veronica filiformis	0	100	no	no
6498	Veronica hederifolia	0	100	no	no
6499	Veronica peregrina ssp. xalapensis	0	3100	no	yes
6500	Veronica persica	0	1100	no	no
6501	Veronica scutellata	0	2200	no	yes
6502	Veronica serpyllifolia ssp. humifusa	1700	3000	no	yes
6503	Veronica triphyllos	0	1000	no	no
6504	Veronica wormskjoldii	2600	3500	no	yes
6505	Ailanthus altissima	0	1250	no	no
6506	Castela emoryi	600	700	no	yes
6507	Simmondsia chinensis	0	1500	no	yes
6508	Cestrum fasciculatum	0	1000	no	no
6509	Chamaesaracha coronopus	1450	1550	no	yes
6510	Chamaesaracha nana	1500	2800	no	yes
6511	Datura discolor	0	500	no	yes
6512	Datura ferox	0	200	no	no
6513	Datura stramonium	0	1500	no	no
6514	Datura wrightii	0	2200	no	yes
6515	Lycium andersonii	0	1900	no	yes
6516	Lycium barbarum	0	1500	no	no
6517	Lycium brevipes	0	600	no	yes
6518	Lycium brevipes var. brevipes	0	600	no	yes
6519	Lycium brevipes var. hassei	0	300	yes	yes
6520	Lycium californicum	0	150	no	yes
6521	Lycium cooperi	0	2000	no	yes
6522	Lycium fremontii	0	500	no	yes
6523	Lycium pallidum var. oligospermum	0	1200	no	yes
6524	Lycium parishii	0	1000	no	yes
6525	Lycium torreyi	0	700	no	yes
6526	Lycium verrucosum	0	500	yes	yes
6527	Lycopersicon esculentum	0	100	no	no
6528	Lycopersicon peruvianum	0	100	no	no
6529	Nicandra physalodes	0	200	no	no
6530	Nicotiana acuminata var. multiflora	0	1600	no	no
6531	Nicotiana attenuata	200	2800	no	yes
6532	Nicotiana clevelandii	0	500	no	yes
6533	Nicotiana glauca	0	1100	no	no
6534	Nicotiana obtusifolia	0	1600	no	yes
6535	Nicotiana quadrivalvis	0	1500	no	yes
6536	Nicotiana sylvestris	0	200	no	no
6537	Oryctes nevadensis	1200	1500	no	yes
6538	Petunia parviflora	0	1300	no	yes
6539	Physalis acutifolia	0	200	no	yes
6540	Physalis crassifolia	0	1300	no	yes
6541	Physalis hederifolia	700	1800	no	yes
6542	Physalis hederifolia var. fendleri	900	1800	no	yes
6543	Physalis hederifolia var. palmeri	700	1600	no	yes
6544	Physalis lancifolia	0	200	no	no
6545	Physalis lobata	500	800	no	yes
6546	Physalis longifolia	0	1000	no	no
6547	Physalis philadelphica	0	700	no	no
6548	Physalis pubescens	0	1500	no	no
6549	Physalis pubescens var. grisea	0	1500	no	no
6550	Physalis pubescens var. integrifolia	0	1500	no	no
6551	Physalis viscosa	0	300	no	no
6552	Salpichroa origanifolia	0	100	no	no
6553	Solanum americanum	0	1000	no	yes
6554	Solanum aviculare	0	100	no	no
6555	Solanum carolinense	0	200	no	no
6556	Solanum dimidiatum	0	200	no	no
6557	Solanum douglasii	0	1000	no	yes
6558	Solanum dulcamara	0	1000	no	no
6559	Solanum elaeagnifolium	0	1200	no	no
6560	Solanum furcatum	0	200	no	no
6561	Solanum lanceolatum	0	200	no	no
6562	Solanum marginatum	0	1000	no	no
6563	Solanum nigrum	0	200	no	no
6564	Solanum parishii	0	2000	no	yes
6565	Solanum rostratum	0	500	no	no
6566	Solanum sarrachoides	0	1000	no	no
6567	Solanum sisymbriifolium	0	100	no	no
6568	Solanum triflorum	100	2300	no	no
6569	Solanum umbelliferum	0	1600	no	yes
6570	Solanum wallacei	0	800	no	yes
6571	Solanum xanti	0	2700	no	yes
6572	Staphylea bolanderi	300	1400	yes	yes
6573	Ayenia compacta	0	500	no	yes
6574	Fremontodendron californicum	400	2000	no	yes
6575	Fremontodendron californicum ssp. californicum	400	2000	yes	yes
6576	Fremontodendron californicum ssp. decumbens	1950	2050	yes	yes
6577	Fremontodendron mexicanum	300	1000	yes	yes
6578	Styrax officinalis var. redivivus	0	1500	yes	yes
6579	Tamarix aphylla	0	200	no	no
6580	Tamarix chinensis	0	200	no	no
6581	Tamarix gallica	0	300	no	no
6582	Tamarix parviflora	0	800	no	no
6583	Tamarix ramosissima	0	800	no	no
6584	Dirca occidentalis	50	300	yes	yes
6585	Tropaeolum majus	0	300	no	no
6586	Celtis reticulata	500	1700	no	yes
6587	Ulmus minor	0	600	no	no
6588	Ulmus parvifolia	0	900	no	no
6589	Ulmus pumila	0	1800	no	no
6590	Boehmeria nivea	0	200	no	no
6591	Hesperocnide tenella	0	1000	yes	yes
6592	Parietaria hespera	0	1400	no	yes
6593	Parietaria hespera var. californica	0	1400	no	yes
6594	Parietaria hespera var. hespera	0	1400	no	yes
6595	Parietaria judaica	0	100	no	no
6596	Parietaria pensylvanica	0	2500	no	yes
6597	Soleirolia soleirolii	0	100	no	no
6598	Urtica dioica	0	3000	no	yes
6599	Urtica dioica ssp. gracilis	0	3000	no	yes
6600	Urtica dioica ssp. holosericea	0	3000	no	yes
6601	Urtica urens	0	3000	no	no
6602	Centranthus ruber	0	200	no	no
6603	Plectritis brachystemon	0	1850	no	yes
6604	Plectritis ciliosa	0	1700	no	yes
6605	Plectritis ciliosa ssp. ciliosa	0	1100	no	yes
6606	Plectritis ciliosa ssp. insignis	0	1700	yes	yes
6607	Plectritis congesta	100	900	no	yes
6608	Plectritis macrocera	0	2000	no	yes
6609	Valeriana californica	1500	3300	no	yes
6610	Valeriana occidentalis	1500	1800	no	yes
6611	Valeriana pubicarpa	2100	3200	no	yes
6612	Valeriana sitchensis	0	2200	no	yes
6613	Valeriana sitchensis ssp. scouleri	0	1200	no	yes
6614	Valeriana sitchensis ssp. sitchensis	1500	2200	no	yes
6615	Valerianella locusta	0	1400	no	no
6616	Aloysia wrightii	900	1600	no	yes
6617	Avicennia marina var. resinifera	-50	50	no	no
6618	Lantana camara	0	200	no	no
6619	Lantana montevidensis	0	200	no	no
6620	Phyla lanceolata	0	400	no	yes
6621	Phyla nodiflora	0	400	no	yes
6622	Phyla nodiflora var. incisa	0	400	no	yes
6623	Phyla nodiflora var. nodiflora	0	300	no	yes
6624	Verbena bonariensis	0	200	no	no
6625	Verbena bracteata	0	2200	no	yes
6626	Verbena californica	300	400	yes	yes
6627	Verbena gooddingii	1200	2000	no	yes
6628	Verbena hastata	0	1300	no	yes
6629	Verbena lasiostachys	0	2500	no	yes
6630	Verbena lasiostachys var. lasiostachys	0	2500	yes	yes
6631	Verbena lasiostachys var. scabrida	0	1500	no	yes
6632	Verbena litoralis	0	200	no	no
6633	Verbena menthifolia	0	300	no	yes
6634	Verbena scabra	0	300	no	yes
6635	Verbena tenuisecta	0	300	no	no
6636	Viola adunca	6	3500	no	yes
6637	Viola arvensis	0	900	no	no
6638	Viola aurea	1000	1800	no	yes
6639	Viola bakeri	1300	2700	no	yes
6640	Viola beckwithii	900	2700	no	yes
6641	Viola cuneata	600	2200	no	yes
6642	Viola douglasii	150	2300	yes	yes
6643	Viola glabella	0	2600	no	yes
6644	Viola hallii	500	2100	no	yes
6645	Viola lobata	150	2300	no	yes
6646	Viola lobata ssp. integrifolia	400	1700	yes	yes
6647	Viola lobata ssp. lobata	150	2300	yes	yes
6648	Viola macloskeyi	1000	3400	no	yes
6649	Viola ocellata	150	1100	no	yes
6650	Viola odorata	0	200	no	no
6651	Viola palustris	0	150	no	yes
6652	Viola pedunculata	0	1000	yes	yes
6653	Viola pinetorum	1400	3400	no	yes
6654	Viola pinetorum ssp. grisea	1500	3400	yes	yes
6655	Viola pinetorum ssp. pinetorum	1400	3100	yes	yes
6656	Viola praemorsa	500	2400	no	yes
6657	Viola praemorsa ssp. linguifolia	500	2400	no	yes
6658	Viola praemorsa ssp. praemorsa	500	1700	no	yes
6659	Viola primulifolia ssp. occidentalis	100	500	yes	yes
6660	Viola purpurea	400	3100	no	yes
6661	Viola purpurea ssp. integrifolia	1200	2700	no	yes
6662	Viola purpurea ssp. mohavensis	1000	2400	no	yes
6663	Viola purpurea ssp. purpurea	500	2500	no	yes
6664	Viola purpurea ssp. quercetorum	400	1800	yes	yes
6665	Viola purpurea ssp. venosa	1300	3100	no	yes
6666	Viola sempervirens	30	1400	no	yes
6667	Viola sheltonii	800	2500	no	yes
6668	Viola sororia ssp. affinis	300	2300	no	yes
6669	Viola tomentosa	1500	2000	yes	yes
6670	Viola tricolor	0	1000	no	no
6671	Arceuthobium abietinum	0	2400	no	yes
6672	Arceuthobium americanum	1300	2500	no	yes
6673	Arceuthobium californicum	600	2000	yes	yes
6674	Arceuthobium campylopodum	50	2400	no	yes
6675	Arceuthobium cyanocarpum	2100	2800	no	yes
6676	Arceuthobium divaricatum	1400	2300	no	yes
6677	Arceuthobium douglasii	1500	2000	no	yes
6678	Arceuthobium littorum	0	250	yes	yes
6679	Arceuthobium monticola	700	1600	yes	yes
6680	Arceuthobium occidentale	100	1200	yes	yes
6681	Arceuthobium siskiyouense	400	1200	yes	yes
6682	Arceuthobium tsugense	0	1000	no	yes
6683	Arceuthobium tsugense ssp. mertensianae	1300	2500	no	yes
6684	Arceuthobium tsugense ssp. tsugense	0	1000	no	yes
6685	Phoradendron californicum	0	1200	no	yes
6686	Phoradendron densum	200	2300	no	yes
6687	Phoradendron juniperinum	1700	2600	no	yes
6688	Phoradendron libocedri	1300	1900	yes	yes
6689	Phoradendron macrophyllum	0	1200	no	yes
6690	Phoradendron pauciflorum	1400	2500	no	yes
6691	Phoradendron villosum	60	2100	no	yes
6692	Viscum album	60	100	no	no
6693	Parthenocissus vitacea	0	1000	no	yes
6694	Vitis californica	0	1000	no	yes
6695	Vitis girdiana	0	1250	no	yes
6696	Vitis vinifera	0	1000	no	no
6697	Fagonia laevis	0	700	no	yes
6698	Fagonia pachyacantha	0	500	no	yes
6699	Kallstroemia californica	0	600	no	yes
6700	Kallstroemia grandiflora	300	900	no	no
6701	Kallstroemia parviflora	1500	2000	no	no
6702	Larrea tridentata	0	1000	no	yes
6703	Tribulus terrestris	0	1000	no	no
6704	Zygophyllum fabago	0	1000	no	no
6705	Alisma gramineum	1200	1800	no	yes
6706	Alisma lanceolatum	0	500	no	no
6707	Alisma plantago-aquatica	0	1600	no	yes
6708	Damasonium californicum	0	1700	no	yes
6709	Echinodorus berteroi	0	300	no	yes
6710	Sagittaria cuneata	0	2500	no	yes
6711	Sagittaria latifolia	0	1500	no	yes
6712	Sagittaria longiloba	0	300	no	yes
6713	Sagittaria montevidensis ssp. calycina	0	300	no	yes
6714	Sagittaria sanfordii	0	300	yes	yes
6715	Aponogeton distachyon	0	150	no	no
6716	Acorus calamus	0	100	no	no
6717	Arum italicum	0	500	no	no
6718	Lysichiton americanus	0	1300	no	yes
6719	Peltandra virginica	0	400	no	no
6720	Pistia stratiotes	0	50	no	no
6721	Zantedeschia aethiopica	0	300	no	no
6722	Phoenix canariensis	0	1000	no	no
6723	Phoenix dactylifera	0	200	no	no
6724	Washingtonia filifera	0	1200	no	yes
6725	Commelina benghalensis	0	500	no	no
6726	Tradescantia fluminensis	450	550	no	no
6727	Halodule wrightii	-120	-20	no	no
6728	Bulbostylis capillaris	1000	4300	no	yes
6729	Carex abrupta	1400	3300	no	yes
6730	Carex albida	0	90	yes	yes
6731	Carex albonigra	3000	3900	no	yes
6732	Carex alma	120	2400	no	yes
6733	Carex amplectens	1200	2100	yes	yes
6734	Carex amplifolia	0	2400	no	yes
6735	Carex angustata	300	2300	no	yes
6736	Carex aquatilis	0	3200	no	yes
6737	Carex aquatilis var. aquatilis	0	3200	no	yes
6738	Carex aquatilis var. dives	0	1100	no	yes
6739	Carex arcta	0	1400	no	yes
6740	Carex atherodes	1300	1400	no	yes
6741	Carex athrostachya	100	3200	no	yes
6742	Carex aurea	1100	3300	no	yes
6743	Carex barbarae	0	900	no	yes
6744	Carex bolanderi	0	2500	no	yes
6745	Carex brainerdii	900	2800	yes	yes
6746	Carex brevicaulis	0	2500	no	yes
6747	Carex breweri var. breweri	2300	3700	no	yes
6748	Carex buxbaumii	0	3300	no	yes
6749	Carex californica	0	90	no	yes
6750	Carex canescens	1100	3200	no	yes
6751	Carex capitata	1900	3900	no	yes
6752	Carex cephalophora	0	100	no	no
6753	Carex comosa	0	400	no	yes
6754	Carex concinnoides	60	900	no	yes
6755	Carex congdonii	2600	3900	yes	yes
6756	Carex cusickii	0	2000	no	yes
6757	Carex davyi	1500	3200	yes	yes
6758	Carex densa	0	1500	no	yes
6759	Carex deweyana ssp. leptopoda	0	2400	no	yes
6760	Carex diandra	150	2400	no	yes
6761	Carex disperma	1100	3400	no	yes
6762	Carex douglasii	300	3800	no	yes
6763	Carex dudleyi	30	600	no	yes
6764	Carex echinata	0	3200	no	yes
6765	Carex echinata ssp. echinata	0	3200	no	yes
6766	Carex echinata ssp. phyllomanica	0	200	no	yes
6767	Carex eleocharis	3500	4100	no	yes
6768	Carex feta	30	2400	no	yes
6769	Carex filifolia	1500	3700	no	yes
6770	Carex filifolia var. erostrata	1500	3700	no	yes
6771	Carex filifolia var. filifolia	3150	3250	no	yes
6772	Carex fissuricola	1500	3500	no	yes
6773	Carex fracta	800	3300	no	yes
6774	Carex garberi	0	100	no	yes
6775	Carex geyeri	1500	2100	no	yes
6776	Carex gigas	850	1800	yes	yes
6777	Carex globosa	0	1300	yes	yes
6778	Carex gracilior	0	700	yes	yes
6779	Carex gynodynama	0	600	yes	yes
6780	Carex halliana	1750	1850	no	yes
6781	Carex harfordii	0	600	yes	yes
6782	Carex hassei	0	2700	no	yes
6783	Carex haydeniana	2400	4200	no	yes
6784	Carex helleri	2400	4100	no	yes
6785	Carex hendersonii	0	900	no	yes
6786	Carex heteroneura	1800	3800	no	yes
6787	Carex heteroneura var. epapillosa	1800	3800	no	yes
6788	Carex heteroneura var. heteroneura	1800	3500	no	yes
6789	Carex hirtissima	60	1200	yes	yes
6790	Carex hoodii	1200	3400	no	yes
6791	Carex hystericina	0	500	no	yes
6792	Carex illota	2100	3400	no	yes
6793	Carex incurviformis var. danaensis	3700	4000	no	yes
6794	Carex inops ssp. inops	820	2000	no	yes
6795	Carex integra	900	3400	no	yes
6796	Carex interior	1100	2100	no	yes
6797	Carex jonesii	900	3200	no	yes
6798	Carex laeviculmis	700	1800	no	yes
6799	Carex lasiocarpa	1800	2100	yes	yes
6800	Carex leavenworthii	0	100	no	no
6801	Carex lemmonii	700	3000	yes	yes
6802	Carex lenticularis	0	3000	no	yes
6803	Carex lenticularis var. impressa	1200	3000	no	yes
6804	Carex lenticularis var. limnophila	-50	50	no	yes
6805	Carex lenticularis var. lipocarpa	0	3000	no	yes
6806	Carex leporinella	2100	4000	no	yes
6807	Carex leptalea	0	700	yes	yes
6808	Carex limosa	1200	2700	no	yes
6809	Carex livida	-50	50	no	yes
6810	Carex luzulifolia	2100	2800	no	no
6811	Carex luzulina	0	2400	no	yes
6812	Carex luzulina var. ablata	1200	2200	no	yes
6813	Carex luzulina var. luzulina	0	2400	no	yes
6814	Carex lyngbyei	-50	50	no	yes
6815	Carex mariposana	1200	3200	no	yes
6816	Carex mendocinensis	150	1600	yes	yes
6817	Carex mertensii	1450	1550	no	yes
6818	Carex microptera	1500	3400	no	yes
6819	Carex molesta	0	100	no	no
6820	Carex multicaulis	15	2200	no	yes
6821	Carex multicostata	150	3500	no	yes
6822	Carex nebrascensis	0	2500	no	yes
6823	Carex nervina	1200	3000	no	yes
6824	Carex neurophora	1500	2100	no	yes
6825	Carex nigricans	2300	3700	no	yes
6826	Carex norvegica	2850	2950	no	yes
6827	Carex nudata	0	1500	no	yes
6828	Carex obispoensis	0	600	yes	yes
6829	Carex obnupta	0	900	no	yes
6830	Carex occidentalis	1850	1950	no	yes
6831	Carex ovalis	0	1100	no	yes
6832	Carex pachystachya	0	3500	yes	yes
6833	Carex pansa	0	10	no	yes
6834	Carex parryana var. unica	3150	3250	no	yes
6835	Carex pellita	60	3300	no	yes
6836	Carex petasata	600	3200	no	yes
6837	Carex phaeocephala	2700	3900	no	yes
6838	Carex praeceptorum	2400	3500	no	yes
6839	Carex praegracilis	0	2700	no	yes
6840	Carex praticola	0	3200	no	yes
6841	Carex preslii	30	3000	no	yes
6842	Carex proposita	3000	4100	no	yes
6843	Carex raynoldsii	1800	3100	no	yes
6844	Carex retroflexa var. texensis	0	100	no	no
6845	Carex rossii	0	3800	no	yes
6846	Carex saliniformis	0	120	yes	yes
6847	Carex sartwelliana	1200	2600	yes	yes
6848	Carex schottii	0	2500	yes	yes
6849	Carex scirpoidea var. pseudoscirpoidea	3500	3700	no	yes
6850	Carex scoparia	0	1000	no	yes
6851	Carex scopulorum var. bracteosa	1200	3400	no	yes
6852	Carex senta	0	2900	no	yes
6853	Carex serratodens	0	1800	yes	yes
6854	Carex sheldonii	1200	1500	no	yes
6855	Carex simulata	0	3300	no	yes
6856	Carex specifica	1200	3500	no	yes
6857	Carex spectabilis	1800	3700	no	yes
6858	Carex spissa	0	600	yes	yes
6859	Carex stipata var. stipata	0	1700	no	yes
6860	Carex straminiformis	2000	3800	no	yes
6861	Carex subbracteata	0	900	yes	yes
6862	Carex subfusca	100	3500	no	yes
6863	Carex subnigricans	2600	3800	no	yes
6864	Carex tahoensis	2900	3700	no	yes
6865	Carex tiogana	3100	3300	yes	yes
6866	Carex tompkinsii	1200	1800	yes	yes
6867	Carex triquetra	600	3000	yes	yes
6868	Carex tumulicola	0	1200	no	yes
6869	Carex unilateralis	0	1000	no	yes
6870	Carex utriculata	0	3400	no	yes
6871	Carex vallicola	0	2700	no	yes
6872	Carex vernacula	1800	4000	no	yes
6873	Carex vesicaria	0	3300	no	yes
6874	Carex vesicaria var. major	0	1800	no	yes
6875	Carex vesicaria var. vesicaria	0	3300	no	yes
6876	Carex viridula var. viridula	0	1600	no	yes
6877	Carex vulpinoidea	0	1200	no	yes
6878	Carex whitneyi	1200	3400	no	yes
6879	Cladium californicum	0	2000	no	yes
6880	Cyperus acuminatus	0	400	no	yes
6881	Cyperus bipartitus	100	1500	no	yes
6882	Cyperus difformis	100	500	no	no
6883	Cyperus eragrostis	0	700	no	yes
6884	Cyperus erythrorhizos	0	500	no	yes
6885	Cyperus esculentus	0	1000	no	yes
6886	Cyperus fuscus	0	50	no	no
6887	Cyperus involucratus	0	200	no	no
6888	Cyperus laevigatus	30	1000	no	yes
6889	Cyperus ligularis	-50	50	no	no
6890	Cyperus niger	0	1500	no	yes
6891	Cyperus odoratus	0	500	no	yes
6892	Cyperus parishii	0	800	no	yes
6893	Cyperus rotundus	0	250	no	no
6894	Cyperus squarrosus	0	1500	no	yes
6895	Cyperus strigosus	0	1000	no	yes
6896	Dulichium arundinaceum	1500	2400	no	yes
6897	Eleocharis acicularis	0	2500	no	yes
6898	Eleocharis acicularis var. acicularis	0	2500	yes	yes
6899	Eleocharis acicularis var. bella	900	2500	no	yes
6900	Eleocharis atropurpurea	0	500	no	yes
6901	Eleocharis bolanderi	1000	2000	no	yes
6902	Eleocharis geniculata	0	1000	no	yes
6903	Eleocharis macrostachya	0	2500	no	yes
6904	Eleocharis montevidensis	0	1000	no	yes
6905	Eleocharis obtusa	0	2600	no	yes
6906	Eleocharis obtusa var. engelmannii	0	2600	no	yes
6907	Eleocharis obtusa var. obtusa	0	1000	no	yes
6908	Eleocharis pachycarpa	0	2000	no	no
6909	Eleocharis parishii	0	2000	no	yes
6910	Eleocharis parvula	0	2500	no	yes
6911	Eleocharis quadrangulata	0	500	no	yes
6912	Eleocharis quinqueflora	1500	3700	no	yes
6913	Eleocharis radicans	0	1500	no	yes
6914	Eleocharis rostellata	0	2000	no	yes
6915	Eleocharis thermalis	0	1000	no	yes
6916	Eriophorum criniger	2000	4300	no	yes
6917	Eriophorum gracile	2000	4300	no	yes
6918	Fimbristylis miliacea	300	4300	no	no
6919	Fimbristylis thermalis	500	4300	no	yes
6920	Fimbristylis vahlii	0	500	no	yes
6921	Kobresia bellardii	3000	4300	no	yes
6922	Kyllinga brevifolia	0	300	no	no
6923	Lipocarpha aristulata	100	400	no	yes
6924	Lipocarpha micrantha	0	1500	no	yes
6925	Lipocarpha occidentalis	1200	1900	no	yes
6926	Rhynchospora alba	0	2000	no	yes
6927	Rhynchospora californica	0	1000	yes	yes
6928	Rhynchospora capitellata	0	2000	no	yes
6929	Rhynchospora globularis var. globularis	0	500	no	yes
6930	Schoenus nigricans	0	2000	no	yes
6931	Scirpus acutus var. occidentalis	0	2500	no	yes
6932	Scirpus americanus	0	2000	no	yes
6933	Scirpus californicus	0	200	no	yes
6934	Scirpus cernuus	0	800	no	yes
6935	Scirpus clementis	2400	3600	yes	yes
6936	Scirpus congdonii	600	3000	no	yes
6937	Scirpus diffusus	300	2300	yes	yes
6938	Scirpus fluviatilis	0	1300	no	yes
6939	Scirpus heterochaetus	1550	1650	no	yes
6940	Scirpus koilolepis	0	750	no	yes
6941	Scirpus maritimus	0	2500	no	yes
6942	Scirpus microcarpus	0	2900	no	yes
6943	Scirpus mucronatus	0	150	no	no
6944	Scirpus nevadensis	1000	2500	no	yes
6945	Scirpus pendulus	800	1000	no	yes
6946	Scirpus pumilus	3100	3250	no	yes
6947	Scirpus pungens	0	2000	no	yes
6948	Scirpus robustus	0	800	no	yes
6949	Scirpus saximontanus	0	300	no	yes
6950	Scirpus setaceus	0	1500	no	no
6951	Scirpus subterminalis	750	2250	no	yes
6952	Scirpus tabernaemontani	0	200	no	yes
6953	Scirpus tuberosus	0	150	no	no
6954	Egeria densa	0	2200	no	no
6955	Elodea canadensis	300	2600	no	yes
6956	Elodea nuttallii	500	2800	no	yes
6957	Hydrilla verticillata	0	200	no	no
6958	Najas flexilis	0	1500	no	yes
6959	Najas gracillima	50	150	no	no
6960	Najas graminea	0	150	no	no
6961	Najas guadalupensis	0	1200	no	yes
6962	Najas marina	0	1000	no	yes
6963	Ottelia alismoides	0	100	no	no
6964	Chasmanthe floribunda	0	50	no	no
6965	Crocosmia X-crocosmiiflora	0	50	no	no
6966	Freesia alba	0	50	no	no
6967	Gladiolus italicus	0	500	no	no
6968	Gladiolus tristis	0	800	no	no
6969	Iris bracteata	500	1000	no	yes
6970	Iris chrysophylla	600	1000	no	yes
6971	Iris douglasiana	0	100	no	yes
6972	Iris fernaldii	50	2000	yes	yes
6973	Iris hartwegii	600	2300	no	yes
6974	Iris hartwegii ssp. australis	1600	2300	yes	yes
6975	Iris hartwegii ssp. columbiana	600	1400	yes	yes
6976	Iris hartwegii ssp. hartwegii	600	2300	yes	yes
6977	Iris hartwegii ssp. pinetorum	1000	1400	yes	yes
6978	Iris innominata	300	2000	no	yes
6979	Iris longipetala	0	600	yes	yes
6980	Iris macrosiphon	0	1000	yes	yes
6981	Iris missouriensis	900	3400	no	yes
6982	Iris munzii	540	800	yes	yes
6983	Iris pseudacorus	0	100	no	no
6984	Iris purdyi	0	1200	yes	yes
6985	Iris tenax ssp. klamathensis	100	500	yes	yes
6986	Iris tenuissima	100	2000	no	yes
6987	Iris tenuissima ssp. purdyiformis	600	2000	yes	yes
6988	Iris tenuissima ssp. tenuissima	100	1000	yes	yes
6989	Ixia maculata	0	50	no	no
6990	Libertia formosa	0	50	no	no
6991	Romulea rosea var. australis	0	50	no	no
6992	Sisyrinchium bellum	0	2400	no	yes
6993	Sisyrinchium californicum	0	600	no	yes
6994	Sisyrinchium douglasii var. douglasii	0	2000	no	yes
6995	Sisyrinchium elmeri	1200	2580	yes	yes
6996	Sisyrinchium funereum	0	800	no	yes
6997	Sisyrinchium halophilum	0	2550	no	yes
6998	Sisyrinchium idahoense	900	3150	no	yes
6999	Sisyrinchium idahoense var. idahoense	900	3150	no	yes
7000	Sisyrinchium idahoense var. occidentale	900	3150	no	yes
7001	Sparaxis grandiflora	0	50	no	no
7002	Sparaxis tricolor	0	50	no	no
7003	Watsonia marginata	0	100	no	no
7004	Watsonia meriana	0	50	no	no
7005	Juncus acuminatus	0	500	no	yes
7006	Juncus acutus ssp. leopoldii	0	300	no	yes
7007	Juncus ambiguus	0	10	no	yes
7008	Juncus articulatus	500	4300	no	yes
7009	Juncus balticus	0	2200	no	yes
7010	Juncus bolanderi	0	1600	no	yes
7011	Juncus brachyphyllus	900	1600	no	yes
7012	Juncus breweri	0	100	no	yes
7013	Juncus bryoides	600	3600	no	yes
7014	Juncus bufonius	0	3200	no	yes
7015	Juncus bufonius var. bufonius	0	3200	no	yes
7016	Juncus bufonius var. congestus	0	200	yes	yes
7017	Juncus bufonius var. occidentalis	0	3200	no	yes
7018	Juncus capillaris	1200	3200	no	yes
7019	Juncus capitatus	0	1000	no	no
7020	Juncus chlorocephalus	1200	3000	no	yes
7021	Juncus confusus	1200	2000	no	yes
7022	Juncus cooperi	0	600	no	yes
7023	Juncus covillei	0	3000	no	yes
7024	Juncus covillei var. covillei	0	300	no	yes
7025	Juncus covillei var. obtusatus	500	3000	no	yes
7026	Juncus cyperoides	950	1050	no	no
7027	Juncus diffusissimus	0	100	no	no
7028	Juncus drummondii	2000	3500	no	yes
7029	Juncus dubius	0	2000	no	yes
7030	Juncus dudleyi	0	2000	no	yes
7031	Juncus duranii	1800	2750	yes	yes
7032	Juncus effusus	0	2500	no	yes
7033	Juncus effusus var. brunneus	0	100	no	yes
7034	Juncus effusus var. exiguus	700	2300	no	yes
7035	Juncus effusus var. gracilis	0	2500	no	yes
7036	Juncus effusus var. pacificus	0	2500	no	yes
7037	Juncus ensifolius	0	2800	no	yes
