id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
94	Ribes malvaceum var. malvaceum	Wood density	0.678	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	wood_density	0.677569517	mm-2
95	Ribes sanguineum var. glutinosum	Wood density	0.602	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	wood_density	0.601543955	mm-2
96	Rosa californica	Wood density	0.700	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	wood_density	0.700425857	mm-2
97	Rosa spithamea	Wood density	0.619	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	wood_density	0.619497843	mm-2
98	Rubus parviflorus	Wood density	0.658	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	wood_density	0.658119055	mm-2
99	Rubus ursinus	Wood density	0.427	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	wood_density	0.427255796	mm-2
100	Salix lasiolepis	Wood density	0.528	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	wood_density	0.52847933	mm-2
101	Salix lucida ssp. lasiandra	Wood density	0.431	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	wood_density	0.430760959	mm-2
102	Sambucus mexicana	Wood density	0.453	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	wood_density	0.452646193	mm-2
103	Sequoia sempervirens	Wood density	0.569	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	wood_density	0.568618878	mm-2
104	Solanum umbelliferum	Wood density	0.550	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	wood_density	0.549590478	mm-2
105	Symphoricarpos albus var. laevigatus	Wood density	0.782	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	wood_density	0.781763774	mm-2
106	Symphoricarpos mollis	Wood density	0.715	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	wood_density	0.714931147	mm-2
107	Toxicodendron diversilobum	Wood density	0.632	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	wood_density	0.631978905	mm-2
108	Umbellularia californica	Wood density	0.515	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	wood_density	0.515209888	mm-2
109	Acer macrophyllum	Blade area (c)	149.531	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	leaf_size	149.5312292	cm2
110	Acer negundo var. californicum	Blade area (c)	20.012	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	leaf_size	20.0116574	cm2
111	Adenostoma fasciculatum	Blade area (c)	0.062	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	leaf_size	0.062485587	cm2
112	Aesculus californica	Blade area (c)	19.477	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	leaf_size	19.47733774	cm2
113	Alnus rhombifolia	Blade area (c)	31.994	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	leaf_size	31.99366667	cm2
114	Amelanchier utahensis	Blade area (c)	2.906	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	leaf_size	2.9055	cm2
115	Arbutus menziesii	Blade area (c)	49.273	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	leaf_size	49.27275382	cm2
116	Artemisia californica	Blade area (c)	0.245	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	leaf_size	0.245091705	cm2
117	Baccharis pilularis	Blade area (c)	1.526	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	leaf_size	1.525872383	cm2
