id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
343	Lepechinia calycina	Leaf area to sapwood area	51.540	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	leaf_area2sapwood_area	51.54	mm2 mm-2
344	Lonicera hispidula var. vacillans	Leaf area to sapwood area	59.160	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	leaf_area2sapwood_area	59.16	mm2 mm-2
345	Lotus scoparius var. scoparius	Leaf area to sapwood area	10.080	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	leaf_area2sapwood_area	10.08	mm2 mm-2
346	Mimulus aurantiacus	Leaf area to sapwood area	24.500	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	leaf_area2sapwood_area	24.5	mm2 mm-2
347	Oemleria cerasiformis	Leaf area to sapwood area	47.800	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	leaf_area2sapwood_area	47.8	mm2 mm-2
348	Populus balsamifera ssp. trichocarpa	Leaf area to sapwood area	71.970	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	leaf_area2sapwood_area	71.97	mm2 mm-2
349	Prunus ilicifolia ssp. ilicifolia	Leaf area to sapwood area	73.500	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	leaf_area2sapwood_area	73.5	mm2 mm-2
350	Quercus agrifolia var. agrifolia	Leaf area to sapwood area	34.760	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	leaf_area2sapwood_area	34.76	mm2 mm-2
351	Quercus douglasii	Leaf area to sapwood area	41.490	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	leaf_area2sapwood_area	41.49	mm2 mm-2
352	Quercus durata var. durata	Leaf area to sapwood area	22.350	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	leaf_area2sapwood_area	22.35	mm2 mm-2
353	Quercus kelloggii	Leaf area to sapwood area	73.800	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	leaf_area2sapwood_area	73.8	mm2 mm-2
354	Quercus lobata	Leaf area to sapwood area	41.510	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	leaf_area2sapwood_area	41.51	mm2 mm-2
355	Rhamnus californica ssp. californica	Leaf area to sapwood area	64.220	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	leaf_area2sapwood_area	64.22	mm2 mm-2
356	Rhamnus crocea	Leaf area to sapwood area	9.410	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	leaf_area2sapwood_area	9.41	mm2 mm-2
357	Ribes californicum var. californicum	Leaf area to sapwood area	16.790	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	leaf_area2sapwood_area	16.79	mm2 mm-2
358	Ribes divaricatum var. pubiflorum	Leaf area to sapwood area	63.570	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	leaf_area2sapwood_area	63.57	mm2 mm-2
359	Ribes malvaceum var. malvaceum	Leaf area to sapwood area	27.420	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	leaf_area2sapwood_area	27.42	mm2 mm-2
360	Ribes sanguineum var. glutinosum	Leaf area to sapwood area	111.350	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	leaf_area2sapwood_area	111.35	mm2 mm-2
361	Rosa californica	Leaf area to sapwood area	107.960	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	leaf_area2sapwood_area	107.96	mm2 mm-2
362	Rosa spithamea	Leaf area to sapwood area	59.830	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	leaf_area2sapwood_area	59.83	mm2 mm-2
363	Rubus parviflorus	Leaf area to sapwood area	208.890	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	leaf_area2sapwood_area	208.89	mm2 mm-2
364	Rubus ursinus	Leaf area to sapwood area	177.360	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	leaf_area2sapwood_area	177.36	mm2 mm-2
365	Salix lasiolepis	Leaf area to sapwood area	61.150	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	leaf_area2sapwood_area	61.15	mm2 mm-2
366	Salix lucida ssp. lasiandra	Leaf area to sapwood area	109.980	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	leaf_area2sapwood_area	109.98	mm2 mm-2
367	Sambucus mexicana	Leaf area to sapwood area	67.970	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	leaf_area2sapwood_area	67.97	mm2 mm-2
368	Solanum umbelliferum	Leaf area to sapwood area	15.410	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	leaf_area2sapwood_area	15.41	mm2 mm-2
369	Symphoricarpos albus var. laevigatus	Leaf area to sapwood area	113.510	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	leaf_area2sapwood_area	113.51	mm2 mm-2
370	Symphoricarpos mollis	Leaf area to sapwood area	89.340	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	leaf_area2sapwood_area	89.34	mm2 mm-2
371	Umbellularia californica	Leaf area to sapwood area	82.810	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	leaf_area2sapwood_area	82.81	mm2 mm-2
372	Acer macrophyllum	Leaf Narea	0.896	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	leaf_Narea	0.896263232	g m-2
373	Acer negundo var. californicum	Leaf Narea	0.940	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	leaf_Narea	0.939565692	g m-2
374	Adenostoma fasciculatum	Leaf Narea	1.781	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	leaf_Narea	1.780712761	g m-2
375	Aesculus californica	Leaf Narea	1.126	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	leaf_Narea	1.125772042	g m-2
376	Alnus rhombifolia	Leaf Narea	1.170	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	leaf_Narea	1.169511294	g m-2
377	Amelanchier utahensis	Leaf Narea	2.380	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	leaf_Narea	2.380197254	g m-2
378	Arbutus menziesii	Leaf Narea	1.458	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	leaf_Narea	1.457749953	g m-2
379	Artemisia californica	Leaf Narea	1.690	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	leaf_Narea	1.690045629	g m-2
380	Baccharis pilularis	Leaf Narea	1.783	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	leaf_Narea	1.782965753	g m-2
381	Ceanothus cuneatus var. cuneatus	Leaf Narea	3.295	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	leaf_Narea	3.294551556	g m-2
382	Ceanothus oliganthus var. sorediatus	Leaf Narea	2.020	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	leaf_Narea	2.01980543	g m-2
383	Cercocarpus betuloides var. betuloides	Leaf Narea	3.034	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	leaf_Narea	3.034381605	g m-2
384	Clematis lasiantha	Leaf Narea	1.026	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	leaf_Narea	1.025576478	g m-2
385	Cornus glabrata	Leaf Narea	0.961	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	leaf_Narea	0.960673294	g m-2
386	Cornus sericea ssp. sericea	Leaf Narea	0.884	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	leaf_Narea	0.883978432	g m-2
387	Corylus cornuta var. californica	Leaf Narea	0.720	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	leaf_Narea	0.719634856	g m-2
388	Dirca occidentalis	Leaf Narea	0.948	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	leaf_Narea	0.948181825	g m-2
389	Eriodictyon californicum	Leaf Narea	2.313	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	leaf_Narea	2.313023221	g m-2
390	Heteromeles arbutifolia	Leaf Narea	1.633	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	leaf_Narea	1.633308771	g m-2
391	Holodiscus discolor	Leaf Narea	0.472	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	leaf_Narea	0.472469897	g m-2
392	Juglans californica var. hindsii	Leaf Narea	0.433	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	leaf_Narea	0.433119287	g m-2
393	Lepechinia calycina	Leaf Narea	0.989	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	leaf_Narea	0.98932314	g m-2
394	Lonicera hispidula var. vacillans	Leaf Narea	0.734	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	leaf_Narea	0.733881055	g m-2
395	Lotus scoparius var. scoparius	Leaf Narea	1.703	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	leaf_Narea	1.702837376	g m-2
396	Mimulus aurantiacus	Leaf Narea	1.463	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	leaf_Narea	1.462846008	g m-2
397	Oemleria cerasiformis	Leaf Narea	1.125	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	leaf_Narea	1.125102558	g m-2
398	Populus balsamifera ssp. trichocarpa	Leaf Narea	1.134	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	leaf_Narea	1.13364506	g m-2
399	Prunus ilicifolia ssp. ilicifolia	Leaf Narea	2.386	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	leaf_Narea	2.386283444	g m-2
400	Pseudotsuga menziesii var. menziesii	Leaf Narea	0.995	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	leaf_Narea	0.995079798	g m-2
401	Quercus agrifolia var. agrifolia	Leaf Narea	2.053	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	leaf_Narea	2.053457529	g m-2
402	Quercus douglasii	Leaf Narea	2.159	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	leaf_Narea	2.159329282	g m-2
403	Quercus durata var. durata	Leaf Narea	1.810	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	leaf_Narea	1.8101731	g m-2
404	Quercus kelloggii	Leaf Narea	1.633	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	leaf_Narea	1.632975343	g m-2
405	Quercus lobata	Leaf Narea	1.927	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	leaf_Narea	1.926608458	g m-2
406	Rhamnus californica ssp. californica	Leaf Narea	1.068	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	leaf_Narea	1.067754253	g m-2
407	Rhamnus crocea	Leaf Narea	1.678	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	leaf_Narea	1.677792095	g m-2
408	Ribes californicum var. californicum	Leaf Narea	0.792	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	leaf_Narea	0.792348938	g m-2
409	Ribes divaricatum var. pubiflorum	Leaf Narea	0.661	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	leaf_Narea	0.661052736	g m-2
410	Ribes malvaceum var. malvaceum	Leaf Narea	0.964	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	leaf_Narea	0.964341244	g m-2
411	Ribes sanguineum var. glutinosum	Leaf Narea	0.785	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	leaf_Narea	0.78465519	g m-2
412	Rosa californica	Leaf Narea	0.729	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	leaf_Narea	0.72900177	g m-2
413	Rosa spithamea	Leaf Narea	0.572	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	leaf_Narea	0.571932374	g m-2
414	Rubus parviflorus	Leaf Narea	0.488	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	leaf_Narea	0.488317487	g m-2
415	Rubus ursinus	Leaf Narea	0.695	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	leaf_Narea	0.695155228	g m-2
416	Salix lasiolepis	Leaf Narea	1.418	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	leaf_Narea	1.418092543	g m-2
417	Salix lucida ssp. lasiandra	Leaf Narea	1.497	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	leaf_Narea	1.497358994	g m-2
418	Sambucus mexicana	Leaf Narea	1.073	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	leaf_Narea	1.073293667	g m-2
419	Sequoia sempervirens	Leaf Narea	1.118	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	leaf_Narea	1.118340887	g m-2
420	Solanum umbelliferum	Leaf Narea	1.982	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	leaf_Narea	1.982193031	g m-2
421	Symphoricarpos albus var. laevigatus	Leaf Narea	0.434	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	leaf_Narea	0.434465568	g m-2
422	Symphoricarpos mollis	Leaf Narea	0.454	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	leaf_Narea	0.453564336	g m-2
423	Toxicodendron diversilobum	Leaf Narea	0.628	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	leaf_Narea	0.627768027	g m-2
424	Umbellularia californica	Leaf Narea	1.681	g m-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	leaf_Narea	1.681358923	g m-2
