id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
43	Amelanchier laevis	4	NA	NA	NA	NA	WPA	788-57*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	12		24.10	214.25	7.13	4.40		1
44	Amelanchier laevis	4	NA	NA	NA	NA	WPA	821-57*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	14		16.55	189.09	5.33	3.83		1
45	Amelanchier laevis	5	NA	NA	NA	NA	UCBG	86.0059		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	06/19/01	5	Sun	LfDat01.xls/UCBG.2001	66		12.59	147.47	5.67	3.53		1
46	Amelanchier laevis	4	NA	NA	NA	NA	UCBG	85.0622		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	06/19/01	4	Sun	LfDat01.xls/UCBG.2001	65		11.84	146.93	4.27	3.53		1
47	Amelanchier laevis	3	NA	NA	NA	NA	WPA	820-57*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	13		11.96	128.11	4.93	2.97		1
48	Amelanchier laevis	3	NA	NA	NA	NA	WPA	544-44*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	11		20.85	115.84	6.70	4.03		1
49	Amelanchier lamarckii	4	NA	NA	NA	NA	WPA	179-47*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier lamarckii	Amelanchier	lamarckii			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	15		12.90	142.91	6.20	4.10		1
50	Amelanchier lamarckii	4	NA	NA	NA	NA	WPA	138-82*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier lamarckii	Amelanchier	lamarckii			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	8		11.22	95.49	5.43	2.87		1
51	Amelanchier nervosa	3	NA	NA	NA	NA	UCBG	76.2026		D. Ackerly	7/13/06			ROSACEAE	Amelanchier nervosa	Amelanchier	nervosa			botanic garden	06/19/01	3	Sun	LfDat01.xls/UCBG.2001	67		7.76	47.21	4.10	2.80		1
52	Amelanchier sanguinea	3	NA	NA	NA	NA	WPA	506-58*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier sanguinea	Amelanchier	sanguinea			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	16		17.98	168.53	4.73	4.30		1
53	Amelanchier utahensis	4	NA	NA	NA	NA	UCBG	82.1427		D. Ackerly	7/13/06			ROSACEAE	Amelanchier utahensis	Amelanchier	utahensis			botanic garden	07/24/01	4	Sun	LfDat01.xls/UCBG.2001	120		5.54	125.84	3.27	2.17		1
