id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
90	54	ackerly04	123	Ceanothus impressus	specific_leaf_area	NA	64.04	cm2/g	NA	NA	NA	NA	NA	NA
91	52	ackerly04	114	Ceanothus griseus	specific_leaf_area	NA	70.43	cm2/g	NA	NA	NA	NA	NA	NA
92	74	ackerly04	172	Cercocarpus betuloides	specific_leaf_area	NA	63.88	cm2/g	NA	NA	NA	NA	NA	NA
93	74	ackerly04	171	Cercocarpus betuloides	specific_leaf_area	NA	82.35	cm2/g	NA	NA	NA	NA	NA	NA
94	38	ackerly04	87	Ceanothus arboreus	specific_leaf_area	NA	115.55	cm2/g	NA	NA	NA	NA	NA	NA
95	53	ackerly04	118	Ceanothus hearstiorum	specific_leaf_area	NA	101.53	cm2/g	NA	NA	NA	NA	NA	NA
96	67	ackerly04	153	Ceanothus prostratus	specific_leaf_area	NA	30.75	cm2/g	NA	NA	NA	NA	NA	NA
97	48	ackerly04	108	Ceanothus foliosus	specific_leaf_area	NA	65.19	cm2/g	NA	NA	NA	NA	NA	NA
98	41	ackerly04	95	Ceanothus cuneatus var. cuneatus	specific_leaf_area	NA	51.82	cm2/g	NA	NA	NA	NA	NA	NA
99	70	ackerly04	167	Ceanothus thyrsiflorus	specific_leaf_area	NA	57.28	cm2/g	NA	NA	NA	NA	NA	NA
100	60	ackerly04	137	Ceanothus maritimus	specific_leaf_area	NA	34.81	cm2/g	NA	NA	NA	NA	NA	NA
101	51	ackerly04	113	Ceanothus gloriosus var. porrectus	specific_leaf_area	NA	43.35	cm2/g	NA	NA	NA	NA	NA	NA
102	56	ackerly04	129	Ceanothus integerrimus	specific_leaf_area	NA	99.18	cm2/g	NA	NA	NA	NA	NA	NA
103	44	ackerly04	102	Ceanothus cyaneus	specific_leaf_area	NA	84.88	cm2/g	NA	NA	NA	NA	NA	NA
104	64	ackerly04	147	Ceanothus oliganthus var. oliganthus	specific_leaf_area	NA	82.53	cm2/g	NA	NA	NA	NA	NA	NA
105	71	ackerly04	168	Ceanothus tomentosus	specific_leaf_area	NA	72.67	cm2/g	NA	NA	NA	NA	NA	NA
106	72	ackerly04	169	Ceanothus velutinus var. hookeri	specific_leaf_area	NA	69.65	cm2/g	NA	NA	NA	NA	NA	NA
107	54	ackerly04	122	Ceanothus impressus	specific_leaf_area	NA	118.6	cm2/g	NA	NA	NA	NA	NA	NA
108	54	ackerly04	124	Ceanothus impressus	specific_leaf_area	NA	37.25	cm2/g	NA	NA	NA	NA	NA	NA
109	53	ackerly04	120	Ceanothus hearstiorum	specific_leaf_area	NA	65.9	cm2/g	NA	NA	NA	NA	NA	NA
110	52	ackerly04	115	Ceanothus griseus	specific_leaf_area	NA	70.06	cm2/g	NA	NA	NA	NA	NA	NA
111	60	ackerly04	135	Ceanothus maritimus	specific_leaf_area	NA	38.49	cm2/g	NA	NA	NA	NA	NA	NA
112	70	ackerly04	161	Ceanothus thyrsiflorus	specific_leaf_area	NA	84.17	cm2/g	NA	NA	NA	NA	NA	NA
113	53	ackerly04	119	Ceanothus hearstiorum	specific_leaf_area	NA	90.91	cm2/g	NA	NA	NA	NA	NA	NA
114	43	ackerly04	100	Ceanothus cuneatus var. rigidus	specific_leaf_area	NA	56.8	cm2/g	NA	NA	NA	NA	NA	NA
115	48	ackerly04	107	Ceanothus foliosus	specific_leaf_area	NA	72.8	cm2/g	NA	NA	NA	NA	NA	NA
116	62	ackerly04	143	Ceanothus megacarpus var. insularis	specific_leaf_area	NA	42.28	cm2/g	NA	NA	NA	NA	NA	NA
117	70	ackerly04	163	Ceanothus thyrsiflorus	specific_leaf_area	NA	73.38	cm2/g	NA	NA	NA	NA	NA	NA
118	42	ackerly04	98	Ceanothus cuneatus var. fascicularis	specific_leaf_area	NA	52.5	cm2/g	NA	NA	NA	NA	NA	NA
119	40	ackerly04	93	Ceanothus crassifolius	specific_leaf_area	NA	23.52	cm2/g	NA	NA	NA	NA	NA	NA
120	51	ackerly04	112	Ceanothus gloriosus var. porrectus	specific_leaf_area	NA	84.73	cm2/g	NA	NA	NA	NA	NA	NA
121	70	ackerly04	157	Ceanothus thyrsiflorus	specific_leaf_area	NA	910.58	cm2/g	NA	NA	NA	NA	NA	NA
122	65	ackerly04	149	Ceanothus oliganthus var. sorediatus	specific_leaf_area	NA	92.77	cm2/g	NA	NA	NA	NA	NA	NA
123	66	ackerly04	151	Ceanothus papillosus	specific_leaf_area	NA	111.98	cm2/g	NA	NA	NA	NA	NA	NA
124	59	ackerly04	133	Ceanothus leucodermis	specific_leaf_area	NA	85.81	cm2/g	NA	NA	NA	NA	NA	NA
125	60	ackerly04	136	Ceanothus maritimus	specific_leaf_area	NA	37.94	cm2/g	NA	NA	NA	NA	NA	NA
126	70	ackerly04	159	Ceanothus thyrsiflorus	specific_leaf_area	NA	126.85	cm2/g	NA	NA	NA	NA	NA	NA
127	68	ackerly04	155	Ceanothus purpureus	specific_leaf_area	NA	31.59	cm2/g	NA	NA	NA	NA	NA	NA
128	69	ackerly04	156	Ceanothus spinosus	specific_leaf_area	NA	75.33	cm2/g	NA	NA	NA	NA	NA	NA
129	65	ackerly04	150	Ceanothus oliganthus var. sorediatus	specific_leaf_area	NA	80.72	cm2/g	NA	NA	NA	NA	NA	NA
130	70	ackerly04	164	Ceanothus thyrsiflorus	specific_leaf_area	NA	67.99	cm2/g	NA	NA	NA	NA	NA	NA
131	48	ackerly04	106	Ceanothus foliosus	specific_leaf_area	NA	76.73	cm2/g	NA	NA	NA	NA	NA	NA
132	61	ackerly04	142	Ceanothus masonii	specific_leaf_area	NA	48.18	cm2/g	NA	NA	NA	NA	NA	NA
133	61	ackerly04	141	Ceanothus masonii	specific_leaf_area	NA	48.67	cm2/g	NA	NA	NA	NA	NA	NA
134	64	ackerly04	148	Ceanothus oliganthus var. oliganthus	specific_leaf_area	NA	78.31	cm2/g	NA	NA	NA	NA	NA	NA
135	41	ackerly04	96	Ceanothus cuneatus var. cuneatus	specific_leaf_area	NA	51.53	cm2/g	NA	NA	NA	NA	NA	NA
136	73	ackerly04	170	Ceanothus verrucosus	specific_leaf_area	NA	39.55	cm2/g	NA	NA	NA	NA	NA	NA
137	56	ackerly04	128	Ceanothus integerrimus	specific_leaf_area	NA	101.82	cm2/g	NA	NA	NA	NA	NA	NA
138	64	ackerly04	146	Ceanothus oliganthus var. oliganthus	specific_leaf_area	NA	130.51	cm2/g	NA	NA	NA	NA	NA	NA
139	42	ackerly04	99	Ceanothus cuneatus var. fascicularis	specific_leaf_area	NA	46.32	cm2/g	NA	NA	NA	NA	NA	NA
140	49	ackerly04	109	Ceanothus gloriosus var. exaltatus	specific_leaf_area	NA	51.26	cm2/g	NA	NA	NA	NA	NA	NA
141	70	ackerly04	158	Ceanothus thyrsiflorus	specific_leaf_area	NA	144.22	cm2/g	NA	NA	NA	NA	NA	NA
142	70	ackerly04	165	Ceanothus thyrsiflorus	specific_leaf_area	NA	65.54	cm2/g	NA	NA	NA	NA	NA	NA
143	70	ackerly04	162	Ceanothus thyrsiflorus	specific_leaf_area	NA	76.76	cm2/g	NA	NA	NA	NA	NA	NA
144	53	ackerly04	121	Ceanothus hearstiorum	specific_leaf_area	NA	NA	cm2/g	NA	NA	NA	NA	NA	NA
145	68	ackerly04	154	Ceanothus purpureus	specific_leaf_area	NA	37.42	cm2/g	NA	NA	NA	NA	NA	NA
146	70	ackerly04	166	Ceanothus thyrsiflorus	specific_leaf_area	NA	63.2	cm2/g	NA	NA	NA	NA	NA	NA
147	38	ackerly04	88	Ceanothus arboreus	specific_leaf_area	NA	104.8	cm2/g	NA	NA	NA	NA	NA	NA
148	57	ackerly04	131	Ceanothus jepsonii var. jepsonii	specific_leaf_area	NA	24.35	cm2/g	NA	NA	NA	NA	NA	NA
149	58	ackerly04	132	Ceanothus lemmonii	specific_leaf_area	NA	147.02	cm2/g	NA	NA	NA	NA	NA	NA
150	60	ackerly04	139	Ceanothus maritimus	specific_leaf_area	NA	30.51	cm2/g	NA	NA	NA	NA	NA	NA
