id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	specimen.type	Source	Accession	Date	LvsSampled	leaf.light.env	source.notes	source.notes
45	Ceanothus jepsonii var. jepsonii	leaf_size		1.81	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus jepsonii var. jepsonii	B	UCBG	89.1959	07/24/01	4	Sun		
46	Ceanothus lemmonii	leaf_size		4.77	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus lemmonii	B	UCBG	90.1086	07/24/01	3	Sun		
53	Ceanothus maritimus	leaf_size		0.73	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCSC	90.11	8/17/01	5	Sun		
48	Ceanothus maritimus	leaf_size		1.01	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCSC	90.15	8/17/01	5	Sun		
25	Ceanothus gloriosus var. gloriosus	leaf_size		0.95	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. gloriosus	B	UCSC	90.31	8/17/01	10	Sun	var name added by default	
11	Ceanothus cuneatus var. cuneatus	leaf_size		4.82	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. cuneatus	B	UCSC	90.6	8/17/01	5	Shade	shade; var name added by default	
30	Ceanothus griseus	leaf_size		2.84	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus griseus	B	UCSC	90.770	8/17/01	5	Sun		
52	Ceanothus maritimus	leaf_size		1.14	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCSC	90.8	8/17/01	5	Sun		
54	Ceanothus maritimus	leaf_size		0.68	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCSC	90.9	8/17/01	5	Sun		
8	Ceanothus cuneatus var. cuneatus	leaf_size		0.43	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. cuneatus	B	UCBG	91.1209	07/24/01	4	Sun	var name added by default	
74	Ceanothus thyrsiflorus	leaf_size		3.69	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	93.0634	07/24/01	6	Sun	var name added by default	
4	Ceanothus cordulatus	leaf_size		4.55	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cordulatus	B	UCBG	93.1283	07/24/01	5	Sun		
6	Ceanothus crassifolius	leaf_size		3.55	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus crassifolius	B	UCBG	94.0349	07/24/01	4	Sun		
24	Ceanothus gloriosus var. exaltatus	leaf_size		5.92	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. exaltatus	B	UCBG	95.1407	07/24/01	3	Sun		
5	Ceanothus crassifolius	leaf_size		0.50	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus crassifolius	B	UCBG	98.0647	07/24/01	5	Sun		
3	Ceanothus arboreus	leaf_size		8.97	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus arboreus	B	UCSC	98.396	8/17/01	4	Sun		
17	Ceanothus divergens	leaf_size		1.38	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus divergens	B	UCBG	xx	00xxxx	3	Sun		
19	Ceanothus ferrisiae	leaf_size		1.58	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus ferrisiae	B	UCBG	xx	00xxxx	3	Sun		
39	Ceanothus incanus	leaf_size		5.91	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus incanus	B	UCBG	xx	00xxxx	3	Sun		
44	Ceanothus jepsonii var. jepsonii	leaf_size		1.94	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus jepsonii var. jepsonii	B	UCBG	xx	00xxxx	3	Sun		
59	Ceanothus megacarpus var. megacarpus	leaf_size		4.30	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus megacarpus var. megacarpus	B	UCBG	xx	00xxxx	3	Sun	var name added by default	
40	Ceanothus incanus	leaf_size		4.92	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus incanus	B	SABG		00xxxx	3	Sun		
18	Ceanothus diversifolius	leaf_size		0.94	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus diversifolius	B	UCSC		8/17/01	9	Sun		
31	Ceanothus griseus	leaf_size		3.23	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus griseus	B	UCSC		8/17/01	4	Sun		
66	Ceanothus papillosus	leaf_size		0.62	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus papillosus	B	UCSC		8/17/01	6	Sun		
101	Ceanothus cuneatus var. rigidus	specific_leaf_area		36.09	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. rigidus	B	UCBG	87.1252	03/23/01	5	Sun		
144	Ceanothus megacarpus var. insularis	specific_leaf_area		24.82	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus megacarpus var. insularis	B	UCSC	88.128	8/17/01	5	Sun		
127	Ceanothus integerrimus	specific_leaf_area		110.46	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus integerrimus	B	UCBG	90.1566	07/24/01	4	Sun		
123	Ceanothus impressus	specific_leaf_area		64.04	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus impressus	B	UCBG	90.1691	03/23/01	7	Sun		
114	Ceanothus griseus	specific_leaf_area		70.43	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus griseus	B	UCSC	2001.56	8/17/01	4	Sun	labelled var. horizontalis, mentioned but not recognized in Jepson	
172	Cercocarpus betuloides	specific_leaf_area		63.88	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Cercocarpus betuloides	H	UCJEP	56553	02/07/01	3	NA		
171	Cercocarpus betuloides	specific_leaf_area		82.35	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Cercocarpus betuloides	H	UCJEP	691101	02/07/01	3	NA		
87	Ceanothus arboreus	specific_leaf_area		115.55	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus arboreus	B	UCBG	770413	00xxxx	3	Sun		
118	Ceanothus hearstiorum	specific_leaf_area		101.53	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus hearstiorum	B	UCBG	821079	00xxxx	3	Sun		
153	Ceanothus prostratus	specific_leaf_area		30.75	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus prostratus	B	UCBG	821456	00xxxx	4	Sun		
108	Ceanothus foliosus	specific_leaf_area		65.19	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus foliosus	B	UCBG	831381	00xxxx	3	Sun		
95	Ceanothus cuneatus var. cuneatus	specific_leaf_area		51.82	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. cuneatus	B	UCBG	831518	00xxxx	4	Sun	var name added by default	
167	Ceanothus thyrsiflorus	specific_leaf_area		57.28	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	891973	00xxxx	3	Sun	var name added by default	
137	Ceanothus maritimus	specific_leaf_area		34.81	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCBG	900052	00xxxx	3	Sun		
113	Ceanothus gloriosus var. porrectus	specific_leaf_area		43.35	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. porrectus	B	UCBG	900152	00xxxx	3	Sun		
129	Ceanothus integerrimus	specific_leaf_area		99.18	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus integerrimus	B	UCBG	901566	00xxxx	3	Sun		
102	Ceanothus cyaneus	specific_leaf_area		84.88	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cyaneus	B	UCBG	920419	00xxxx	3	Sun		
147	Ceanothus oliganthus var. oliganthus	specific_leaf_area		82.53	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. oliganthus	B	UCBG	950575	00xxxx	3	Sun	var name added by default	
168	Ceanothus tomentosus	specific_leaf_area		72.67	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus tomentosus	B	UCBG	980654	00xxxx	3	Sun		
169	Ceanothus velutinus var. hookeri	specific_leaf_area		69.65	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus velutinus var. hookeri	B	WPA	112-92*A	09/07/01	2	Sun		
122	Ceanothus impressus	specific_leaf_area		118.60	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus impressus	B	UCSC	2001.10	8/17/01	10	Sun		
124	Ceanothus impressus	specific_leaf_area		37.25	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus impressus	B	UCSC	2001.10	8/17/01	10	Sun		
120	Ceanothus hearstiorum	specific_leaf_area		65.90	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus hearstiorum	B	UCSC	2001.50	8/17/01	10	Sun		
115	Ceanothus griseus	specific_leaf_area		70.06	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus griseus	B	UCBG	61.1736	07/24/01	4	Sun		
135	Ceanothus maritimus	specific_leaf_area		38.49	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCBG	64.1194	07/24/01	4	Sun		
161	Ceanothus thyrsiflorus	specific_leaf_area		84.17	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	77.0173	07/24/01	4	Sun	var name added by default	
119	Ceanothus hearstiorum	specific_leaf_area		90.91	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus hearstiorum	B	UCBG	77.0416	07/24/01	4	Sun		
100	Ceanothus cuneatus var. rigidus	specific_leaf_area		56.80	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. rigidus	B	UCSC	78.11	8/17/01	10	Sun		
107	Ceanothus foliosus	specific_leaf_area		72.80	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus foliosus	B	UCSC	78.140	8/17/01	10	Sun		
143	Ceanothus megacarpus var. insularis	specific_leaf_area		42.28	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus megacarpus var. insularis	B	UCSC	79.192	8/17/01	10	Sun		
163	Ceanothus thyrsiflorus	specific_leaf_area		73.38	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	80.0060	07/24/01	4	Sun	var name added by default	
98	Ceanothus cuneatus var. fascicularis	specific_leaf_area		52.50	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. fascicularis	B	UCBG	80.0115	07/24/01	5	Sun		
93	Ceanothus crassifolius	specific_leaf_area		23.52	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus crassifolius	B	UCBG	80.0116	07/24/01	6	Sun		
112	Ceanothus gloriosus var. porrectus	specific_leaf_area		84.73	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. porrectus	B	UCBG	80.0828	07/24/01	4	Sun		
157	Ceanothus thyrsiflorus	specific_leaf_area		910.58	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	80.0829	07/24/01	4	Sun		
149	Ceanothus oliganthus var. sorediatus	specific_leaf_area		92.77	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. sorediatus	B	UCBG	81.1110	07/24/01	4	Sun		
151	Ceanothus papillosus	specific_leaf_area		111.98	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus papillosus	B	UCBG	82.0484	07/24/01	5	Sun		
133	Ceanothus leucodermis	specific_leaf_area		85.81	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus leucodermis	B	UCBG	82.1059	07/24/01	4	Sun		
136	Ceanothus maritimus	specific_leaf_area		37.94	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCBG	82.1074	07/24/01	5	Sun		
159	Ceanothus thyrsiflorus	specific_leaf_area		126.85	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	82.1109	07/24/01	4	Sun		
155	Ceanothus purpureus	specific_leaf_area		31.59	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus purpureus	B	UCBG	82.1375	07/24/01	4	Sun		
156	Ceanothus spinosus	specific_leaf_area		75.33	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus spinosus	B	UCBG	83.0099	07/24/01	4	Sun		
150	Ceanothus oliganthus var. sorediatus	specific_leaf_area		80.72	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. sorediatus	B	UCBG	83.0107	07/24/01	4	Sun		
164	Ceanothus thyrsiflorus	specific_leaf_area		67.99	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	83.0206	07/24/01	5	Sun	var name added by default	
106	Ceanothus foliosus	specific_leaf_area		76.73	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus foliosus	B	UCBG	83.1170	07/24/01	6	Sun		
142	Ceanothus masonii	specific_leaf_area		48.18	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus masonii	B	UCBG	83.1425	07/24/01	4	Sun		
141	Ceanothus masonii	specific_leaf_area		48.67	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus masonii	B	UCBG	84.0009	07/24/01	4	Sun		
148	Ceanothus oliganthus var. oliganthus	specific_leaf_area		78.31	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. oliganthus	B	UCSC	84.320	8/17/01	4	Shade	shade; var name added by default	
96	Ceanothus cuneatus var. cuneatus	specific_leaf_area		51.53	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. cuneatus	B	UCBG	85.1225	07/24/01	4	Sun	var name added by default	
170	Ceanothus verrucosus	specific_leaf_area		39.55	cm2/g								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus verrucosus	B	UCBG	86.0883	07/24/01	4	Sun		
