Baker.SHname	jep1.taxon
Calycadenia oppositifolia	CALYCADENIA oppositifolia
Calycadenia pauciflora	CALYCADENIA pauciflora
Calycadenia truncata	CALYCADENIA truncata
Calycanthus occidentalis	CALYCANTHUS occidentalis
Calypso bulbosa	CALYPSO bulbosa
Calyptridium monandrum	CALYPTRIDIUM monandrum
Calyptridium quadripetalum	CALYPTRIDIUM quadripetalum
Calyptridium umbellatum	CALYPTRIDIUM umbellatum
Calystegia macrostegia 	CALYSTEGIA macrostegia ssp. macrostegia
Calystegia occidentalis 	CALYSTEGIA occidentalis ssp. occidentalis
Calystegia occidentalis ssp occidentalis 	CALYSTEGIA occidentalis ssp. occidentalis
Calystegia purpurata 	CALYSTEGIA purpurata ssp. purpurata
Calystegia purpurata ssp purpurata 	CALYSTEGIA purpurata ssp. purpurata
Calystegia purpurata ssp saxicola 	CALYSTEGIA purpurata ssp. saxicola
Calystegia sepium 	CALYSTEGIA sepium
Calystegia soldanella 	CALYSTEGIA soldanella
Camassia quamash ssp brevifolia	CAMASSIA quamash ssp. breviflora
Camelina sativa 	CAMELINA microcarpa
Camissonia bistorta 	CAMISSONIA bistorta
Camissonia califronica 	CAMISSONIA californica
Camissonia cheiranthifolia	CAMISSONIA cheiranthifolia ssp. cheiranthifolia
Camissonia cheiranthifolia 	CAMISSONIA cheiranthifolia ssp. cheiranthifolia
Camissonia cheiranthifolia ssp. suffruticosa 	CAMISSONIA cheiranthifolia ssp. suffruticosa
Camissonia claviformis 	CAMISSONIA claviformis ssp. claviformis
Camissonia claviformis ssp. aurantiaca 	CAMISSONIA claviformis ssp. aurantiaca
Camissonia claviformis ssp. cruciformis	CAMISSONIA claviformis ssp. cruciformis
Camissonia contorta 	CAMISSONIA contorta
Camissonia lucustris or strigulosa 	CAMISSONIA strigulosa
Camissonia micrantha 	CAMISSONIA micrantha
Camissonia ovata 	CAMISSONIA ovata
Camissonia palmeri 	CAMISSONIA palmeri
Camissonia tanacetifolia 	CAMISSONIA tanacetifolia ssp. tanacetifolia
Camissonia walkeri ssp. tortilis 	CAMISSONIA walkeri ssp. tortilis
Campanula californica	CAMPANULA californica
Campanula prenanthoides	CAMPANULA prenanthoides
Campanula rotundifolia	CAMPANULA rotundifolia
Campanula scouleri	CAMPANULA scouleri
Capsella bursa-pastoris	CAPSELLA bursa-pastoris
Cardamine bellidifolia var pachyphylla	CARDAMINE bellidifolia var. pachyphylla
Cardamine californica 	CARDAMINE californica var. californica
Cardamine oligosperma	CARDAMINE oligosperma
Cardaria draba	CARDARIA draba
Cardionema ramosissimum	CARDIONEMA ramosissimum
Carduus pycnocephalus	CARDUUS pycnocephalus
Carduus tenuiflorus	CARDUUS tenuiflorus
Carex amplifolia	CAREX amplifolia
Carex aquatilis	CAREX aquatilis var. aquatilis
Carex aquatilis var. dives	CAREX aquatilis var. dives
Carex aurea	CAREX aurea
Carex barbarae	CAREX barbarae
Carex breweri var. breweri	CAREX breweri var. breweri
Carex capitata	CAREX capitata
Carex densa	CAREX densa
Carex densa 	CAREX densa
Carex fracta	CAREX fracta
Carex globosa	CAREX globosa
Carex hardfordii	CAREX harfordii
Carex harfordii 	CAREX harfordii
Carex heteroneura	CAREX heteroneura var. heteroneura
Carex illota	CAREX illota
Carex jonesii	CAREX jonesii
Carex laeviculmis	CAREX laeviculmis
Carex lenticularis var. limnophila 	CAREX lenticularis var. limnophila
Carex lenticularis var. lipocarpa 	CAREX lenticularis var. lipocarpa
Carex luzulaifolia 	CAREX luzulifolia
Carex luzulina	CAREX luzulina var. luzulina
Carex luzulina var. ablata	CAREX luzulina var. ablata
Carex mertensii ?	CAREX mertensii
Carex microptera 	CAREX microptera
Carex multicaulis	CAREX multicaulis
Carex obnupta	CAREX obnupta
Carex ovalis 	CAREX ovalis
Carex praegracilis	CAREX praegracilis
Carex proposita	CAREX proposita
Carex scopulorum var. bracteosa	CAREX scopulorum var. bracteosa
Carex scopulorum var. bracteosa 	CAREX scopulorum var. bracteosa
Carex serratodens	CAREX serratodens
Carex spectabilis	CAREX spectabilis
Carex straminiformis	CAREX straminiformis
Carex subfusca	CAREX subfusca
Carex tahoensis	CAREX tahoensis
Carex tumulicola	CAREX tumulicola
Carex vesicaria var. major 	CAREX vesicaria var. major
Carpenteria californica	CARPENTERIA californica
Carpobrotus chilensis 	CARPOBROTUS chilensis
Carthamus lanata	CARTHAMUS lanatus
Cassiope mertensiana	CASSIOPE mertensiana
Castanopsis chrysophylla	CHRYSOLEPIS chrysophylla var. chrysophylla
Castanopsis chrysophylla var minor	CHRYSOLEPIS chrysophylla var. minor
Castanopsis sempervirens	CHRYSOLEPIS sempervirens
Casteilleja lineariloba 	CASTILLEJA lineariloba
Castela emoryi 	CASTELA emoryi
Castilleja ambigua 	CASTILLEJA ambigua ssp. ambigua
Castilleja angustifolia 	CASTILLEJA angustifolia
Castilleja applegatei	CASTILLEJA applegatei
Castilleja applegatei ssp. pallida 	CASTILLEJA applegatei ssp. pallida
Castilleja attenuata 	CASTILLEJA attenuata
Castilleja densiflora 	CASTILLEJA densiflora ssp. densiflora
Castilleja foliolosa	CASTILLEJA foliolosa
Castilleja hispida ssp. brevilobata 	CASTILLEJA hispida ssp. brevilobata
Castilleja lacera 	CASTILLEJA lacera
Castilleja latifolia	CASTILLEJA latifolia
Castilleja linariifolia 	CASTILLEJA linariifolia
Castilleja lineariloba 	CASTILLEJA lineariloba
Castilleja miniata	CASTILLEJA miniata ssp. miniata
Castilleja miniata ssp elata	CASTILLEJA miniata ssp. elata
Castilleja minor ssp. minor 	CASTILLEJA minor ssp. minor
Castilleja nana	CASTILLEJA nana
Castilleja pilosa	CASTILLEJA pilosa
Castilleja pilosa x applegatei	NOT TO SPECIES
Castilleja subinclusa ssp. franciscana 	CASTILLEJA subinclusa ssp. franciscana
Castilleja tenuis 	CASTILLEJA tenuis
Castilleja wightii	CASTILLEJA wightii
Caulanthus coulteri	CAULANTHUS coulteri var. coulteri
Caulanthus heterophyllus 	CAULANTHUS heterophyllus var. heterophyllus
Ceanothus arboreus	CEANOTHUS arboreus
Ceanothus cordulatus	CEANOTHUS cordulatus
Ceanothus cuneatus	CEANOTHUS cuneatus var. cuneatus
Ceanothus cuneatus var. cuneatus 	CEANOTHUS cuneatus var. cuneatus
Ceanothus cuneatus var. rigidus 	CEANOTHUS cuneatus var. rigidus
Ceanothus dentatus	CEANOTHUS dentatus
Ceanothus dentatus 	CEANOTHUS dentatus
Ceanothus gloriosus	CEANOTHUS gloriosus var. gloriosus
Ceanothus gloriosus var exaltatus	CEANOTHUS gloriosus var. exaltatus
Ceanothus gloriosus var. porrectus	CEANOTHUS gloriosus var. porrectus
Ceanothus greggii var perplexans	CEANOTHUS greggii var. perplexans
Ceanothus griseus	CEANOTHUS griseus
Ceanothus griseus 	CEANOTHUS griseus
Ceanothus impressus	CEANOTHUS impressus
Ceanothus incanus	CEANOTHUS incanus
Ceanothus integerrimus	CEANOTHUS integerrimus
Ceanothus jepsonii	CEANOTHUS jepsonii var. jepsonii
Ceanothus lemmonii	CEANOTHUS lemmonii
Ceanothus maritimus	CEANOTHUS maritimus
Ceanothus megacarpus 	CEANOTHUS megacarpus var. megacarpus
Ceanothus oliganthus var. sorediatus 	CEANOTHUS oliganthus var. sorediatus
Ceanothus palmeri	CEANOTHUS palmeri
Ceanothus papillosus	CEANOTHUS papillosus var. papillosus
Ceanothus papillosus var roweanus	CEANOTHUS papillosus var. roweanus
Ceanothus parryi	CEANOTHUS parryi
Ceanothus prostratus	CEANOTHUS prostratus
Ceanothus purpureus	CEANOTHUS purpureus
Ceanothus spinosus	CEANOTHUS spinosus
Ceanothus thyrsiflorus	CEANOTHUS thyrsiflorus
Ceanothus thyrsiflorus 	CEANOTHUS thyrsiflorus
Ceanothus tomentosus 	CEANOTHUS tomentosus
Ceanothus velutinus	CEANOTHUS velutinus var. velutinus
Ceanothus verrucosus	CEANOTHUS verrucosus
Centaurea cyanus	CENTAUREA cyanus
Centaurea melitensis	CENTAUREA melitensis
Centaurea solstitialis	CENTAUREA solstitialis
Centaurium davyi	CENTAURIUM davyi
Centaurium muehlenbergii 	CENTAURIUM muehlenbergii
Centaurium venustum 	CENTAURIUM venustum
Centranthus ruber	CENTRANTHUS ruber
Centunculus minimus	CENTUNCULUS minimus
Cephalanthera austiniae	CEPHALANTHERA austiniae
Cerastium arvense	CERASTIUM arvense
Cerastium glomeratum 	CERASTIUM glomeratum
Cerastium vulgatum	CERASTIUM fontanum ssp. vulgare
Cercidium floridum	CERCIDIUM floridum ssp. floridum
Cercidium microphyllum	CERCIDIUM microphyllum
Cercis occidentalis	CERCIS occidentalis
Cercocarpus betuloides	CERCOCARPUS betuloides var. betuloides
Cercocarpus intricatus	CERCOCARPUS intricatus
Cercocarpus ledifolius	CERCOCARPUS ledifolius var. ledifolius
Cercocarpus minutiflorus	CERCOCARPUS minutiflorus
Chaenactis artemisiifolia	CHAENACTIS artemisiifolia
Chaenactis douglasii	CHAENACTIS douglasii var. douglasii
Chaenactis douglasii var. douglasii 	CHAENACTIS douglasii var. douglasii
Chaenactis fremontii	CHAENACTIS fremontii
Chaenactis glabriuscula	CHAENACTIS glabriuscula var. glabriuscula
Chaenactis glabriuscula var. glabriuscula 	CHAENACTIS glabriuscula var. glabriuscula
Chaenactis glabriuscula var. lanosa	CHAENACTIS glabriuscula var. lanosa
Chaenactis macrantha	CHAENACTIS macrantha
Chaenactis stevioides	CHAENACTIS stevioides
Chaenactis suffrutescens	CHAENACTIS suffrutescens
Chaenactis xantiana	CHAENACTIS xantiana
Chamaesyce polycarpa 	CHAMAESYCE polycarpa
Chamaesyce serphyllifolia 	CHAMAESYCE serpyllifolia ssp. serpyllifolia
Chamesyce arizonica 	CHAMAESYCE arizonica
Chamomilla occidentalis 	CHAMOMILLA occidentalis
Chamomilla suaveolens 	CHAMOMILLA suaveolens
Chenopodium album	CHENOPODIUM album
Chenopodium botrys	CHENOPODIUM botrys
Chenopodium californicum	CHENOPODIUM californicum
Chenopodium fremontii	CHENOPODIUM fremontii
Chenopodium rubrum	CHENOPODIUM rubrum
Chilopsis linearis ssp. arcuata	CHILOPSIS linearis ssp. arcuata
Chimophila menziesii	CHIMAPHILA menziesii
Chloris gayana	CHLORIS gayana
Chlorogalum angustifolium	CHLOROGALUM angustifolium
Chlorogalum pomeridianum	CHLOROGALUM pomeridianum var. pomeridianum
Chorizanthe cuspidata 	CHORIZANTHE cuspidata
Chorizanthe douglasii	CHORIZANTHE douglasii
Chorizanthe membranacea	CHORIZANTHE membranacea
Chorizanthe staticoides 	CHORIZANTHE staticoides
Chrysanthemum segetum	CHRYSANTHEMUM segetum
Chrysothamnus nauseosus	CHRYSOTHAMNUS nauseosus
Chrysothamnus nauseosus ssp albicaulis	CHRYSOTHAMNUS nauseosus ssp. albicaulis
Chrysothamnus nauseosus ssp mohavensis	CHRYSOTHAMNUS nauseosus ssp. mohavensis
Chrysothamnus paniculatus	CHRYSOTHAMNUS paniculatus
