Baker.SHname	jep1.taxon
Plagiobothrys glyptocarpus	PLAGIOBOTHRYS glyptocarpus var. glyptocarpus
Plagiobothrys greenei	PLAGIOBOTHRYS greenei
Plagiobothrys hispidulus	PLAGIOBOTHRYS hispidulus
Plagiobothrys leptocladus	PLAGIOBOTHRYS leptocladus
Plagiobothrys mollis	PLAGIOBOTHRYS mollis var. mollis
Plagiobothrys nothofulvus	PLAGIOBOTHRYS nothofulvus
Plagiobothrys stipitatus	PLAGIOBOTHRYS stipitatus var. stipitatus
Plagiobothrys stipitatus var. micranthus	PLAGIOBOTHRYS stipitatus var. micranthus
Plagiobothrys tener	PLAGIOBOTHRYS tener
Plagiobothrys undulatus	PLAGIOBOTHRYS undulatus
Plantago coronopus	PLANTAGO coronopus
Plantago elongata 	PLANTAGO elongata
Plantago hookeriana var. californica 	PLANTAGO erecta
Plantago lanceolata	PLANTAGO lanceolata
Plantago major	PLANTAGO major
Plantago maritima 	PLANTAGO maritima
Plantago subnuda 	PLANTAGO subnuda
Plantanus racemosa	PLATANUS racemosa
Platanthera leucostachys 	PLATANTHERA leucostachys
Platanthera sparsiflora 	PLATANTHERA sparsiflora
Platystemon californicus	PLATYSTEMON californicus
Plectritis brachystemon 	PLECTRITIS brachystemon
Plectritis ciliosa 	PLECTRITIS ciliosa ssp. ciliosa
Plectritis ciliosa ssp. insignis 	PLECTRITIS ciliosa ssp. insignis
Plectritis macrocera	PLECTRITIS macrocera
Pleuroaphis rigida 	PLEURAPHIS rigida
Pleuropogon californicus	PLEUROPOGON californicus
Pluchea odorata 	PLUCHEA odorata
Poa annua	POA annua
Poa bolanderi	POA bolanderi
Poa cusickii ssp. epilis ? 	POA cusickii ssp. epilis
Poa douglasii	POA douglasii
Poa palustris	POA palustris
Poa secunda ssp secunda 	POA secunda ssp. secunda
Poa secunda ssp. nevadensis 	POA secunda ssp. juncifolia
Poa secunda ssp. secunda 	POA secunda ssp. secunda
Poa trivialis	POA trivialis
Pogogyne douglasii	POGOGYNE douglasii
Pogogyne douglasii ssp. parviflora 	POGOGYNE douglasii
Pogogyne zizyphoroides	POGOGYNE zizyphoroides
Polemonium californicum	POLEMONIUM californicum
Polemonium carneum	POLEMONIUM carneum
Polemonium occidentale 	POLEMONIUM occidentale ssp. occidentale
Polemonium pulcherrimum	POLEMONIUM pulcherrimum var. pulcherrimum
Polygonum amphibium var. emersum 	POLYGONUM amphibium var. emersum
Polygonum argyrocoleon	POLYGONUM argyrocoleon
Polygonum bistortoides	POLYGONUM bistortoides
Polygonum cuspidatum	POLYGONUM cuspidatum
Polygonum douglasii	POLYGONUM douglasii ssp. douglasii
Polygonum douglasii ssp. johnstonii	POLYGONUM douglasii ssp. johnstonii
Polygonum douglasii ssp. spergulariiforme 	POLYGONUM douglasii ssp. spergulariiforme
Polygonum hydropiperoides 	POLYGONUM hydropiperoides
Polygonum paronychia	POLYGONUM paronychia
Polygonum parryi	POLYGONUM parryi
Polygonum polygaloides ssp. kelloggii 	POLYGONUM polygaloides ssp. kelloggii
Polypogon monspeliensis	POLYPOGON monspeliensis
Populus fremontii	POPULUS fremontii ssp. fremontii
Porterella carnosula	PORTERELLA carnosula
Portulaca oleracea	PORTULACA oleracea
Potamogeton illinoense	POTAMOGETON illinoensis
Potentilla aserina ssp. pacifica 	POTENTILLA anserina ssp. anserina
Potentilla drummondii ssp. bruceae	POTENTILLA drummondii ssp. bruceae
Potentilla glandulosa ssp nevadensis	POTENTILLA glandulosa ssp. nevadensis
Potentilla glandulosa ssp reflexa	POTENTILLA glandulosa ssp. reflexa
Potentilla glandulosa ssp. glandulosa	POTENTILLA glandulosa ssp. glandulosa
Potentilla gracilis	POTENTILLA gracilis var. gracilis
Potentilla gracilis ssp nuttallii	POTENTILLA gracilis var. fastigiata
Potentilla palustris	POTENTILLA palustris
Primula suffrutescens	PRIMULA suffrutescens
Proboscideae althaeifolia ?	PROBOSCIDEA althaeifolia
Prosopis glandulosa var. torreyana 	PROSOPIS glandulosa var. torreyana
Prosopis pubescens	PROSOPIS pubescens
Prunella vulgaris	PRUNELLA vulgaris var. vulgaris
Prunus andersonii	PRUNUS andersonii
Prunus emarginata	PRUNUS emarginata
Prunus fasciculata	PRUNUS fasciculata var. fasciculata
Prunus fremontii	PRUNUS fremontii
Prunus ilicifolia	PRUNUS ilicifolia ssp. ilicifolia
Prunus ilicifolia ssp. lyonii 	PRUNUS ilicifolia ssp. lyonii
Prunus virginiana var. demissa	PRUNUS virginiana var. demissa
Prunus virginiana var. demissa 	PRUNUS virginiana var. demissa
Psathyrotes ramosissima	PSATHYROTES ramosissima
Pseudostellaria jamesiana 	PSEUDOSTELLARIA jamesiana
Pseudotsuga menziesii var. menziesii	PSEUDOTSUGA menziesii var. menziesii
Psilocarphus brevissimus	PSILOCARPHUS brevissimus var. brevissimus
Psilocarphus tenellus	PSILOCARPHUS tenellus var. tenellus
Psorothamnus fremontii 	PSOROTHAMNUS fremontii var. fremontii
Psorothamnus schottii 	PSOROTHAMNUS schottii
Psorothamnus spinosus	PSOROTHAMNUS spinosus
Ptelea crenulata	PTELEA crenulata
Pterospora andromeda 	PTEROSPORA andromedea
Pterostegia drymarioides	PTEROSTEGIA drymarioides
Puccinellia grandis 	PUCCINELLIA nutkaensis
Purshia tridentata	PURSHIA tridentata var. tridentata
Purshia tridentata var. glandulosa	GALIUM multiflorum
Pyrola asarifolia var. asarifolia 	PYROLA asarifolia ssp. asarifolia
Pyrrocoma apargioides 	PYRROCOMA apargioides
Quercus chrysolepsis	QUERCUS chrysolepis
Quercus garryana	QUERCUS garryana var. garryana
Quercus lobata	QUERCUS lobata
Quercus vaccinifolia	QUERCUS vacciniifolia
Rafinesquia californica	RAFINESQUIA californica
Ranunculus alismifolia 	RANUNCULUS alismifolius var. alismifolius
Ranunculus aquatilis var capillaceus	RANUNCULUS aquatilis var. capillaceus
Ranunculus aquatilis var hispidulus	RANUNCULUS aquatilis var. hispidulus
Ranunculus bonariensis var. trisepalus 	RANUNCULUS bonariensis var. trisepalus
Ranunculus californicus	RANUNCULUS californicus
Ranunculus cymbalaria var. saximontanus	RANUNCULUS cymbalaria var. saximontanus
Ranunculus eschscholtzii	RANUNCULUS eschscholtzii
Ranunculus flammula 	RANUNCULUS flammula
Ranunculus hebecarpus	RANUNCULUS hebecarpus
Ranunculus muricatus	RANUNCULUS muricatus
Ranunculus occidentalis	RANUNCULUS occidentalis
Ranunculus uncinatus 	RANUNCULUS uncinatus
Raphanus raphanistrum	RAPHANUS raphanistrum
Raphanus sativus	RAPHANUS sativus
Reseda lutea	RAPHANUS sativus
Rhamnus californica	RHAMNUS californica ssp. californica
Rhamnus crocea	RHAMNUS crocea
Rhamnus ilicifolia 	RHAMNUS ilicifolia
Rhamnus pilosa 	RHAMNUS pilosa
Rhamnus rubra	RHAMNUS rubra
Rhododendron macrophyllum	RHODODENDRON macrophyllum
Rhododendron occidentale	RHODODENDRON occidentale
Rhus glabra	NOT NATURALIZED
Rhus ovata	RHUS ovata
Rhus trilobata 	RHUS trilobata
Ribes amarum	RIBES amarum
Ribes californica	RIBES californicum var. californicum
Ribes cereum	RIBES cereum var. cereum
Ribes inerme var. inerme 	RIBES inerme var. inerme
Ribes inerme var. klamathense 	RIBES inerme var. klamathense
Ribes malvaceum	PERIDERIDIA gairdneri ssp. gairdneri
Ribes menziesii	RIBES menziesii
Ribes nevadense	RIBES nevadense
Ribes roezlii	RIBES roezlii var. roezlii
Ribes roezlii var. cruentum	RIBES roezlii var. cruentum
Ribes sanguineum	RIBES sanguineum var. sanguineum
Ribes sanguineum var. glutinosum	RIBES sanguineum var. glutinosum
Ribes sanguinium var. glutinosum	RIBES sanguineum var. glutinosum
Ribes speciosum	RIBES speciosum
Ribes velutinum	RIBES velutinum
Ribes velutinum 	RIBES velutinum
Ribes viburnifolium	RIBES viburnifolium
Rigiopappus leptocladus	RIGIOPAPPUS leptocladus
Romanzoffia californica 	ROMANZOFFIA californica
Romneya coulteri	ROMNEYA coulteri
Romneya triocalyx	ROMNEYA trichocalyx
Rosa californica	ROSA californica
Rosa gymnocarpa	ROSA gymnocarpa
Rosa nutkana	ROSA nutkana var. nutkana
Rosa spithamea	ROSA spithamea
Rosa woodsii var. ultramontana	ROSA woodsii var. ultramontana
Rubus discolor 	RUBUS discolor
Rubus glaucifolius	RUBUS glaucifolius
Rubus lacinatus	RUBUS laciniatus
Rubus leucodermis	RUBUS leucodermis
Rubus parviflorus	RUBUS parviflorus
Rubus spectabilis	RUBUS spectabilis
Rubus spectabilis 	RUBUS spectabilis
Rubus ursinus	RUBUS ursinus
Rubus ursinus 	RUBUS ursinus
Rudbeckia californica	RUDBECKIA californica var. californica
Rudbeckia californica var. glauca	RUDBECKIA californica var. glauca
Rumex acetosella	RUMEX acetosella
Rumex acetosella 	RUMEX acetosella
Rumex conglomeratus	RUMEX conglomeratus
Rumex crispus	RUMEX crispus
Rumex hymenosepalus	RUMEX hymenosepalus
Rumex maritimus 	RUMEX maritimus
Rumex obtusifolia 	RUMEX obtusifolius
Rumex occidentalis 	RUMEX occidentalis
Rumex pulcher	RUMEX pulcher
Rumex salicifolius	RUMEX salicifolius var. salicifolius
Rumex salicifolius 	RUMEX salicifolius var. salicifolius
Rumex salicifolius var. transitorius 	RUMEX salicifolius var. transitorius
Rumex salicifolius var. triangulivalvis 	RUMEX salicifolius var. triangulivalvis
Rupertia physodes 	RUPERTIA physodes
Ruppia maritima	RUPPIA maritima
Sagina apetala 	SAGINA apetala
Sagina decumbens ssp. occidentalis 	SAGINA decumbens ssp. occidentalis
Sagina maxima ssp. crassicaulis 	SAGINA maxima ssp. crassicaulis
Sagina saginoides 	SAGINA saginoides
Salazaria mexicana	SALAZARIA mexicana
Salicornia virginica	SALICORNIA virginica
Salix arctica 	SALIX arctica
Salix breweri	SALIX breweri
Salix exigua 	SALIX exigua
Salix lasiolepis	SALIX lasiolepis
Salix lasiolepis 	SALIX lasiolepis
Salix lemmonii	SALIX lemmonii
Salix melanopsis	SALIX melanopsis
Salix sitchensis 	SALIX sitchensis
Salsola tragus 	SALSOLA tragus
Salvia aethiopis	SALVIA aethiopis
Salvia brandegei	SALVIA brandegeei
Salvia carduacea	SALVIA carduacea
Salvia clevelandii	SALVIA clevelandii
Salvia columbariae	SALVIA columbariae
Salvia dorrii	SALVIA dorrii var. dorrii
Salvia leucophylla	SALVIA leucophylla
Salvia mellifera	SALVIA mellifera
Salvia munzii	SALVIA munzii
Salvia sonomensis	SALVIA sonomensis
Salvia spathacea	SALVIA spathacea
Sambucus melanocarpa	SAMBUCUS melanocarpa
Sambucus mexicana	SAMBUCUS mexicana
Sambucus mexicana 	SAMBUCUS mexicana
Sambucus racemosa var. microbotrys 	SAMBUCUS racemosa var. microbotrys
Sambucus racemosa var. racemosa 	SAMBUCUS racemosa var. racemosa
Sanguisorba occidentalis	SANGUISORBA occidentalis
Sanicula arctopoides	SANICULA arctopoides
Sanicula arguta	SANICULA arguta
Sanicula bipinnatifida	SANICULA bipinnatifida
Sanicula crassicaulis	SANICULA crassicaulis
Sanicula graveolens	SANICULA graveolens
Saxifraga californica	SAXIFRAGA californica
Saxifraga ferruginea	SAXIFRAGA ferruginea
Saxifraga oregana	SAXIFRAGA oregana
Saxifraga punctata ssp arguta	NOT IN JEPSON
Saxifraga tolmiei	SAXIFRAGA tolmiei
Scandix pectens-veneris	SCANDIX pecten-veneris
Schismus barbatus	SCHISMUS barbatus
Scirpus acutus var. occidentalis 	SCIRPUS acutus var. occidentalis
Scirpus californicus	SCIRPUS californicus
Scirpus cernuus 	SCIRPUS cernuus
Scirpus koilolepis	SCIRPUS koilolepis
Scirpus microcarpus	SCIRPUS microcarpus
Scirpus olneyi 	SCIRPUS americanus
Scirpus robustus	SCIRPUS robustus
Scirpus tabernaemontii 	SCIRPUS tabernaemontani
Scleranthus annuus	SCLERANTHUS annuus ssp. annuus
Scribneria bolanderi	POLYPOGON interruptus
Scrophularia californica	SCROPHULARIA californica ssp. californica
Scrophularia desertorum 	SCROPHULARIA desertorum
Scutellaria californica	SCUTELLARIA californica
Scutellaria tuberosa	SCUTELLARIA tuberosa
Sedum lanceolatum	SEDUM lanceolatum
Sedum obtusatum ssp. boreale	SEDUM obtusatum ssp. boreale
Sedum spathulifolium	SEDUM spathulifolium
Sedum spathulifolium 	SEDUM spathulifolium
Sedum stenopetalum	SEDUM stenopetalum
Senecio aronicoides	SENECIO aronicoides
Senecio californicus	SENECIO californicus
Senecio canus	SENECIO canus
Senecio flaccidus var. douglasii 	SENECIO flaccidus var. douglasii
Senecio flaccidus var. monoensis 	SENECIO flaccidus var. monoensis
Senecio hydrophiloides 	SENECIO hydrophiloides
Senecio integerrimus var. exaltatus	SENECIO integerrimus var. exaltatus
Senecio integerrimus var. major	SENECIO integerrimus var. major
Senecio lyonii	SENECIO lyonii
Senecio serra	SENECIO serra var. serra
Senecio triangularis	SENECIO triangularis
Senecio vulgaris	SENECIO vulgaris
Senecio vulgaris ?	SENECIO vulgaris
Senecio werneriaefolius	SENECIO werneriifolius
Sequoia sempervirens	SEQUOIA sempervirens
Sequoiadendron giganteum	SEQUOIADENDRON giganteum
Setaria italica	NOT IN JEPSON
Sherardia arvensis	SHERARDIA arvensis
Sidalcea calycosa	SIDALCEA calycosa ssp. calycosa
Sidalcea diploscypha	SIDALCEA diploscypha
Sidalcea glaucescens	SIDALCEA glaucescens
Sidalcea malvaeflora 	SIDALCEA malviflora ssp. malviflora
Sidalcea malvaeflora ssp. asprella	SIDALCEA malviflora ssp. asprella
Sidalcea malvaeflora ssp. sparsifolia	SIDALCEA malviflora ssp. sparsifolia
Sidalcea neo-mexicana 	SIDALCEA neomexicana
Sidalcea oregana ssp. spicata	SIDALCEA oregana ssp. spicata
Silene bernardina 	SILENE bernardina
Silene bridgesii	SILENE bridgesii
Silene californica	SILENE californica
Silene campanulata ssp. glandulosa 	SILENE campanulata ssp. campanulata
Silene conoidea	SILENE conoidea
Silene douglasii	SILENE douglasii
Silene gallica	SILENE gallica
Silene lacinata ssp. major	SILENE laciniata ssp. major
Silene latifolia 	SILENE latifolia ssp. alba
Silene lemmonii	SILENE lemmonii
Silene menziesii	SILENE menziesii
Silene sargentii	SILENE sargentii
Silene vulgaris 	SILENE vulgaris
Silybum marianum	SILYBUM marianum
Simmondsia chinensis	SIMMONDSIA chinensis
Sisymbrium altissimum	SISYMBRIUM altissimum
Sisymbrium officinalis	SISYMBRIUM officinale
Sisyrinchium bellum	SISYRINCHIUM bellum
Sisyrinchium californicum	SISYRINCHIUM californicum
Sisyrinchium douglasii	SISYRINCHIUM douglasii var. douglasii
Sisyrinchium elmeri	SISYRINCHIUM elmeri
Sisyrinchium halophyllum	SISYRINCHIUM halophilum
Smilacina racemosa	SMILACINA racemosa
Smilacina racemosa 	SMILACINA racemosa
Smilacina stellata	SMILACINA stellata
Smilacina stellata 	SMILACINA stellata
Solanum americanum 	SOLANUM americanum
Solanum aviculare	SOLANUM aviculare
Solanum parishii	SOLANUM parishii
Solanum triflorum	SOLANUM triflorum
Solanum wallacei	SOLANUM wallacei
Solanum xanti 	SOLANUM xanti
Solidago californica ?	SOLIDAGO californica
Solidago canadensis ssp elongata	SOLIDAGO canadensis ssp. elongata
Soliva sessilis	SOLIVA sessilis
Soliva sessilis 	SOLIVA sessilis
Sonchus asper	SONCHUS asper ssp. asper
Sonchus oleraceus	SONCHUS oleraceus
Sorbus aucuparia	SORBUS aucuparia
Sorbus scopulina	SORBUS scopulina var. scopulina
Sorghum halepense	SORGHUM halepense
Sparganium angustifolium	SPARGANIUM angustifolium
Sparganium emersum 	SPARGANIUM emersum ssp. emersum
Sparganium eurycarpum ssp. eurycarpum 	SPARGANIUM eurycarpum ssp. eurycarpum
Spartina foliosa	SPARTINA foliosa
Spergula arvensis	SPERGULA arvensis ssp. arvensis
Spergularia atrosperma ?	SPERGULARIA atrosperma
Spergularia bocconii	SPERGULARIA bocconei
Spergularia macrotheca	SPERGULARIA macrotheca var. macrotheca
Spergularia macrotheca var. leucantha	SPERGULARIA macrotheca var. leucantha
Spergularia marina	SPERGULARIA marina
Spergularia media	SPERGULARIA media
Spergularia rubra	SPERGULARIA rubra
Spergularia villosa	SPERGULARIA villosa
Sphaeralcea ambigua	SPHAERALCEA ambigua var. ambigua
Sphaeralcea ambigua var. ambigua 	SPHAERALCEA ambigua var. ambigua
Sphaeralcea ambigua var. rosacea	SPHAERALCEA ambigua var. rosacea
Sphaeralcea ambigua var. rugosa	SPHAERALCEA ambigua var. rugosa
Sphaeralcea emoryi	SPHAERALCEA emoryi var. emoryi
Sphaeralcea orcuttii	SPHAERALCEA orcuttii
Sphenosciadium capitellatum	SPHENOSCIADIUM capitellatum
Spiraea douglasii	SPIRAEA douglasii
Stachys ajugoides	STACHYS ajugoides var. ajugoides
Stachys ajugoides 	STACHYS ajugoides var. ajugoides
Stachys ajugoides var. rigida	STACHYS ajugoides var. rigida
Stachys ajugoides var. rigida 	STACHYS ajugoides var. rigida
Stachys albens	STACHYS albens
Stachys bullata	STACHYS bullata
Stachys chamissonis	STACHYS chamissonis
Stachys chamissonis ?	STACHYS chamissonis
Stanleya pinnata	STANLEYA pinnata var. pinnata
Staphylea bolanderi	STAPHYLEA bolanderi
Stebbinsoeris heterocarpa 	STEBBINSOSERIS heterocarpa
Stebbinsoseris heterocarpa 	STEBBINSOSERIS heterocarpa
Stellaria crispa	STELLARIA crispa
Stellaria longipes	STELLARIA longipes var. longipes
Stellaria media	STELLARIA media
Stellaria nitens	STELLARIA nitens
Stephanomeria blairii 	STEPHANOMERIA blairii
Stephanomeria cichoriaceae	STEPHANOMERIA cichoriacea
Stephanomeria exigua	STEPHANOMERIA exigua ssp. exigua
Stephanomeria exigua ssp. exigua 	STEPHANOMERIA exigua ssp. exigua
Stephanomeria lactucina	STEPHANOMERIA lactucina
Stephanomeria pauciflora	STEPHANOMERIA pauciflora var. pauciflora
Stephanomeria spinosa 	STEPHANOMERIA spinosa
Stillingia paucidentata	STILLINGIA paucidentata
Streptanthella longirostris	STREPTANTHELLA longirostris
Streptanthus diversifolius	STREPTANTHUS diversifolius
Streptanthus gracilis	STREPTANTHUS gracilis
Streptanthus hispidus	STREPTANTHUS hispidus
Streptanthus niger 	STREPTANTHUS niger
Streptanthus tortuosus var. orbiculatus	STREPTANTHUS tortuosus var. orbiculatus
Streptopus amplexifolius var. americanus 	STREPTOPUS amplexifolius var. americanus
Stylomecon heterophylla	STYLOMECON heterophylla
Styrax officinalis var. redivivus 	STYRAX officinalis var. redivivus
Swertia radiata 	SWERTIA radiata
Symphoricarpos albus var. laevigatus 	SYMPHORICARPOS albus var. laevigatus
Symphoricarpos mollis	SYMPHORICARPOS mollis
Symphoricarpos rotundifolius 	SYMPHORICARPOS rotundifolius var. rotundifolius
Syntrichopappus fremontii	SYNTRICHOPAPPUS fremontii
Taeniantherum caput-medusae 	TAENIATHERUM caput-medusae
Tanacetum camphoratum 	TANACETUM camphoratum
Taraxacum officinale	TARAXACUM officinale
Tauschia hartwegii	TAUSCHIA hartwegii
Taxus brevifolia	TAXUS brevifolia
Tellima grandiflora	TELLIMA grandiflora
Tetracoccus dioicus	TETRACOCCUS dioicus
Tetradymia axillaris	TETRADYMIA axillaris var. axillaris
Tetragonia tetragonoides 	TETRAGONIA tetragonioides
Thalictrum fendleri	THALICTRUM fendleri var. fendleri
Thalictrum fendleri var. polycarpum 	THALICTRUM fendleri var. polycarpum
Thalictrum sparsiflorum	THALICTRUM sparsiflorum
Thamnosma montana	THAMNOSMA montana
Thermopsis macrophylla	THERMOPSIS macrophylla var. macrophylla
Thlaspi montanum var. montanum 	THLASPI montanum var. montanum
Thuja plicata	THUJA plicata
Thuja plicata  *1	THUJA plicata
Thysanocarpus curvipes	THYSANOCARPUS curvipes
Thysanocarpus curvipes 	THYSANOCARPUS curvipes
Thysanocarpus laciniatus	THYSANOCARPUS laciniatus
Thysanocarpus laciniatus 	THYSANOCARPUS laciniatus
Thysanocarpus radians	THYSANOCARPUS radians
Tiarella trifoliata var. unifoliata 	TIARELLA trifoliata var. trifoliata
Tidestromia oblongifolia	TIDESTROMIA lanuginosa
Tofieldia occidentalis ssp. occidentalis 	TOFIELDIA occidentalis ssp. occidentalis
Tolmiea menziesii	TOLMIEA menziesii
Tonella tenella	TONELLA tenella
Torryochlea pallida var. pauciflora 	TORREYOCHLOA pallida var. pauciflora
Toxidendron diversilobum 	TOXICODENDRON diversilobum
Tragopogon dubius	TRAGOPOGON dubius
Tragopogon porrifolius  Type 1	TRAGOPOGON porrifolius
Tribulus terrestris	TRIBULUS terrestris
Trichostema lanatum	TRICHOSTEMA lanatum
Trichostema lanceolatum	TRICHOSTEMA lanceolatum
Trichostema laxum	TRICHOSTEMA laxum
Trifolium albopurpureum	TRIFOLIUM albopurpureum var. albopurpureum
Trifolium albopurpureum var. dichotomum 	TRIFOLIUM albopurpureum var. dichotomum
Trifolium albopurpureum var. olivaceum 	TRIFOLIUM albopurpureum var. olivaceum
Trifolium amplectens	TRIFOLIUM depauperatum var. amplectens
Trifolium arvense	TRIFOLIUM arvense
Trifolium barbigerum	TRIFOLIUM barbigerum var. barbigerum
Trifolium bifidum	TRIFOLIUM bifidum var. bifidum
Trifolium breweri	TRIFOLIUM breweri
Trifolium ciliolatum	TRIFOLIUM ciliolatum
Trifolium cyathiferum	TRIFOLIUM cyathiferum
Trifolium depauperatum	TRIFOLIUM depauperatum var. depauperatum
Trifolium depauperatum var. truncatum 	TRIFOLIUM depauperatum var. truncatum
Trifolium fucatum	TRIFOLIUM fucatum
Trifolium fucatum 	TRIFOLIUM fucatum
Trifolium gracilentum	TRIFOLIUM gracilentum var. gracilentum
Trifolium gracilentum var. palmeri 	TRIFOLIUM gracilentum var. palmeri
Trifolium hirtum	TRIFOLIUM hirtum
Trifolium hybridum	TRIFOLIUM hybridum
Trifolium incarnatum	TRIFOLIUM incarnatum
Trifolium longipes	TRIFOLIUM longipes
Trifolium longipes var. shastense	TRIFOLIUM longipes var. shastense
Trifolium macraei	TRIFOLIUM macraei
Trifolium microcephalum	TRIFOLIUM microcephalum
Trifolium monanthum var. monanthum 	TRIFOLIUM monanthum var. monanthum
Trifolium oliganthum	TRIFOLIUM oliganthum
Trifolium productum	TRIFOLIUM kingii var. productum
Trifolium variegatum	TRIFOLIUM variegatum
Trifolium willdenovii 	TRIFOLIUM willdenovii
Trifolium wormskioldii	TRIFOLIUM wormskioldii
Triglochin concinna	TRIGLOCHIN concinna var. concinna
Triglochin maritima	TRIGLOCHIN maritima
Triglochin palustris	TRIGLOCHIN palustris
Trillium chloropetalum	TRILLIUM chloropetalum
Trillium ovatum	TRILLIUM ovatum ssp. ovatum
Triodanis biflora	TRIODANIS biflora
Triphysaria eriantha 	TRIPHYSARIA eriantha ssp. eriantha
Triphysaria eriantha ssp. rosea 	TRIPHYSARIA eriantha ssp. rosea
Triphysaria floribunda 	TRIPHYSARIA floribunda
Triphysaria pusilla 	TRIPHYSARIA pusilla
Triphysaria versicolor ssp. faucibarbata 	TRIPHYSARIA versicolor ssp. faucibarbata
Triphysaria versicolor ssp. versicolor 	TRIPHYSARIA versicolor ssp. versicolor
Trisetum cernuum	TRISETUM cernuum
Trisetum cernuum 	TRISETUM cernuum
Trisetum spicatum	TRISETUM spicatum
Trixis californica	TRIXIS californica var. californica
Tropidocarpum gracile	TROPIDOCARPUM gracile
Turricula parryi	TURRICULA parryi
Typha angustifolia	TYPHA angustifolia
Typha domingensis	TYPHA domingensis
Typha latifolia	TYPHA latifolia
Ulex europaeus	ULEX europaeus
Umbellularia californica	UMBELLULARIA californica
Urtica dioica ssp. holosericea 	URTICA dioica ssp. holosericea
Urtica urens	URTICA urens
Vaccinium cespitosum 	VACCINIUM caespitosum
Vaccinium membranaceum	VACCINIUM membranaceum
Vaccinium ovatum	VACCINIUM ovatum
Vaccinium parvifolium	VACCINIUM parvifolium
Vaccinium parvifolium  #1	VACCINIUM parvifolium
Vaccinium scoparium	VACCINIUM scoparium
Vaccinium uliginosum	VACCINIUM uliginosum ssp. occidentale
Vaccinium uliginosum ssp. occidentale 	VACCINIUM uliginosum ssp. occidentale
Valeriana californica 	VALERIANA californica
Valeriana sitchensis	VALERIANA sitchensis ssp. sitchensis
Valeriana sitchensis ssp. scouleri	VALERIANA sitchensis ssp. scouleri
Vancouveria hexandra	VANCOUVERIA hexandra
Vancouveria planipetala	VANCOUVERIA planipetala
Venegasia carpesioides	VENEGASIA carpesioides
Veratrum californicum	VERATRUM californicum var. californicum
Verbascum blattaria  	VERBASCUM blattaria
Verbascum thapsus	VERBASCUM thapsus
Verbascum virgatum	VERBASCUM virgatum
Verbena lasiostachys	VERBENA lasiostachys var. lasiostachys
Verbena lasiostachys var. scabrida 	VERBENA lasiostachys var. scabrida
Verbena officinalis 	NOT IN JEPSON
Vicia americana var. americana 	VICIA americana var. americana
Vicia gigantea	VICIA gigantea
Vicia sativa	VICIA sativa ssp. sativa
Vicia sativa ssp. nigra 	VICIA sativa ssp. nigra
Vicia tetrasperma	VICIA tetrasperma
Vicia villosa ssp. varia 	VICIA villosa vari 
Viguiera laciniata	VIGUIERA laciniata
Viguiera parishii 	VIGUIERA parishii
Viguiera reticulata	VIGUIERA reticulata
Viola douglasii	VIOLA douglasii
Viola glabella	VIOLA glabella
Viola lobata	VIOLA lobata ssp. lobata
Viola macloskeyi	VIOLA macloskeyi
Viola odorata	VIOLA odorata
Viola palustris	VIOLA palustris
Viola pedunculata	VIOLA pedunculata
Viola pinetorum ssp. purpurea 	VIOLA pinetorum ssp. pinetorum
Viola praemorsa ssp. linguifolia 	VIOLA praemorsa ssp. linguifolia
Viola primuliflora ssp. occidentalis 	VIOLA primulifolia ssp. occidentalis
Viola purpurea	VIOLA purpurea ssp. purpurea
Viola purpurea ssp. venosa 	VIOLA purpurea ssp. venosa
Viola sempervirens	VIOLA sempervirens
Vitis californica	VITIS californica
Vulpia bromoides 	VULPIA bromoides
Vulpia microstachys 	VULPIA microstachys var. microstachys
Vulpia microstachys var. ciliata 	VULPIA microstachys var. ciliata
Vulpia microstachys var. pauciflora	VULPIA microstachys var. pauciflora
Vulpia microstachys var. pauciflora 	VULPIA microstachys var. pauciflora
Vulpia myuros var. hirsuta 	VULPIA myuros var. hirsuta
Vulpia myuros var. myuros 	VULPIA myuros var. myuros
Washingtonia filifera	WASHINGTONIA filifera
Whipplea modesta	WHIPPLEA modesta
Wyethia angustifolia	WYETHIA angustifolia
Wyethia bolanderi	WYETHIA bolanderi
Wyethia elata	WYETHIA elata
Wyethia helenioides	WYETHIA helenioides
Wyethia mollis	WYETHIA mollis
Wyethia ovata	WYETHIA ovata
Xanthium strumarium	XANTHIUM strumarium
Xylococcus bicolor	XYLOCOCCUS bicolor
Xylorhiza tortifolia var. tortifolia 	XYLORHIZA tortifolia var. tortifolia
Yucca brevifolia	YUCCA brevifolia
Yucca shidigera	YUCCA schidigera
Yucca whipplei	YUCCA whipplei
Yucca whipplei ssp. parishii	YUCCA whipplei
Zigadenus exaltatus	ZIGADENUS exaltatus
Zigadenus fremontii	ZIGADENUS fremontii
Zigadenus fremontii 	ZIGADENUS fremontii
Zigadenus micranthus	ZIGADENUS micranthus var. micranthus
Zigadenus micranthus var. fontanus 	ZIGADENUS micranthus var. fontanus
Zigadenus venenosus	ZIGADENUS venenosus var. venenosus
