,Species,Individual,Total.leaf.area..in2.,Ave..leaf.area..in2.,leafArea,Ave..oven.dry.mass..mg.,Total.oven.dry.mass..mg.,Total.oven.dry.mass..g.,Number.of.leaves,sla,Notes,lat,long,l.sla,precip,temp,cwd,ldmc,height
150,Pinus sabiniana,157,3.017,0.377125,243.305965,76.7875,614.3,0.6143,8,3.168562136,,37.95253,-121.86953,0.500862228,6.348719323,15.17416667,720.3,442.2287812,17.15370527
151,Quercus wislizeni,158,9.784,0.815333333,526.0204533,88.39166667,1060.7,1.0607,12,5.95101861,,37.9542,-121.87391,0.774591308,6.318319255,15.10958333,756.2,482.662905,7.692936741
152,Nassella pulchra,159,1.638,0.819,528.38604,21.45,42.9,0.0429,2,24.63338182,,37.95438,-121.87523,1.391524039,6.318319255,15.10958333,731.8,152.8866714,0.7
153,Heteromeles arbutifolia,160,17.292,2.882,1859.35112,243.6,1461.6,1.4616,6,7.632804269,,37.95513,-121.86505,0.882684126,6.306275287,14.54041667,730,400.9876543,2
154,Quercus wislizeni,161,18.667,1.555583333,1003.600143,121.1166667,1453.4,1.4534,12,8.286226586,,37.91736,-121.93925,0.918356805,6.279327853,14.55291667,734.7,446.4307655,20.07967215
155,Heteromeles arbutifolia,162,21.703,2.712875,1750.238435,314.4,2515.2,2.5152,8,5.566916142,,38.50791,-122.09693,0.745614679,6.581942033,15.99666667,836.3,431.4088711,4.5
156,Aesculus californica,163,18.165,3.633,2343.86628,186.16,930.8,0.9308,5,12.59060099,,38.50791,-122.09693,1.100046461,6.581942033,15.99666667,836.3,253.9630569,4.5
157,Mimulus aurantiacus,164,2.788,0.464666667,299.7843467,16.86666667,101.2,0.1012,6,17.77377549,,38.50791,-122.09693,1.24977969,6.581942033,15.99666667,836.3,273.9577694,1.2
158,Baccharis pilularis,165,4.556,0.253111111,163.2971644,12.4,223.2,0.2232,18,13.16912616,,38.50791,-122.09693,1.119556958,6.581942033,15.99666667,836.3,291.0418568,4.5
159,Quercus douglasii,166,7.621,0.692818182,446.9785782,46.46363636,511.1,0.5111,11,9.619965486,,38.50734,-122.0969,0.983173514,6.581942033,15.99666667,836.3,441.5169316,8.1
160,Quercus wislizeni,167,13.076,1.089666667,703.0093467,78.28333333,939.4,0.9394,12,8.980319523,,38.50734,-122.0969,0.953291789,6.581942033,15.99666667,836.3,483.4045181,6.5
161,Arctostaphylos spp.,168,6.972,0.8715,562.25694,103.725,829.8,0.8298,8,5.420650181,,38.50661,-122.09719,0.734051381,6.581942033,15.99666667,836.3,359.9531514,4
162,Umbellularia californica,169,19.604,2.4505,1580.96458,181.175,1449.4,1.4494,8,8.726174031,,38.5055,-122.09763,0.94082387,6.581942033,15.99666667,799.7,510.3880555,3.5
163,Aesculus californica,170,30.831,5.1385,3315.15466,147.7166667,886.3,0.8863,6,22.4426582,,38.5055,-122.09763,1.351074295,6.581942033,15.99666667,799.7,212.5368696,5
164,Adenostoma fasciculatum,171,0.752,0.053714286,34.65430857,6.307142857,88.3,0.0883,14,5.49445436,,38.50227,-122.09967,0.73992457,6.621072707,15.76791667,900.2,381.0962451,2.5
165,Aesculus californica,172,22.197,4.4394,2864.123304,202.38,1011.9,1.0119,5,14.15220528,,38.49985,-122.1003,1.150824119,6.621072707,15.76791667,900.2,228.2549851,3.5
166,Quercus wislizeni,173,18.8,2.685714286,1732.715429,215.7142857,1510,1.51,7,8.032455629,,38.49985,-122.1003,0.904848335,6.621072707,15.76791667,900.2,512.9424553,4
167,Mimulus aurantiacus,174,5.155,1.031,665.15996,40.4,202,0.202,5,16.46435545,,38.49985,-122.1003,1.216544734,6.621072707,15.76791667,900.2,283.1908033,1.1
