id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
483	Ceanothus cuneatus var. cuneatus	Total lumen area	NA	28.733	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus cuneatus var. cuneatus	total_lumen_area	NA	28.733	NA	NA	mm2
484	Ceanothus oliganthus var. sorediatus	Total lumen area	NA	45.988	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus oliganthus var. sorediatus	total_lumen_area	NA	45.988	NA	NA	mm2
485	Cercocarpus betuloides var. betuloides	Total lumen area	NA	48.404	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cercocarpus betuloides var. betuloides	total_lumen_area	NA	48.404	NA	NA	mm2
486	Clematis lasiantha	Total lumen area	NA	443.421	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Clematis lasiantha	total_lumen_area	NA	443.421	NA	NA	mm2
487	Cornus glabrata	Total lumen area	NA	88.272	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus glabrata	total_lumen_area	NA	88.272	NA	NA	mm2
488	Cornus sericea ssp. sericea	Total lumen area	NA	190.591	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus sericea ssp. sericea	total_lumen_area	NA	190.591	NA	NA	mm2
489	Corylus cornuta var. californica	Total lumen area	NA	130.675	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Corylus cornuta var. californica	total_lumen_area	NA	130.675	NA	NA	mm2
490	Dirca occidentalis	Total lumen area	NA	325.097	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Dirca occidentalis	total_lumen_area	NA	325.097	NA	NA	mm2
491	Eriodictyon californicum	Total lumen area	NA	188.094	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Eriodictyon californicum	total_lumen_area	NA	188.094	NA	NA	mm2
492	Eriophyllum confertiflorum var. confertiflorum	Total lumen area	NA	69.333	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Eriophyllum confertiflorum var. confertiflorum	total_lumen_area	NA	69.333	NA	NA	mm2
493	Heteromeles arbutifolia	Total lumen area	NA	164.225	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Heteromeles arbutifolia	total_lumen_area	NA	164.225	NA	NA	mm2
494	Holodiscus discolor	Total lumen area	NA	107.834	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Holodiscus discolor	total_lumen_area	NA	107.834	NA	NA	mm2
495	Juglans californica var. hindsii	Total lumen area	NA	174.038	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Juglans californica var. hindsii	total_lumen_area	NA	174.038	NA	NA	mm2
496	Lepechinia calycina	Total lumen area	NA	179.87	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lepechinia calycina	total_lumen_area	NA	179.87	NA	NA	mm2
497	Lonicera hispidula var. vacillans	Total lumen area	NA	180.084	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lonicera hispidula var. vacillans	total_lumen_area	NA	180.084	NA	NA	mm2
498	Lotus scoparius var. scoparius	Total lumen area	NA	72.379	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lotus scoparius	total_lumen_area	NA	72.379	NA	NA	mm2
