id	taxon	trait	value	units	created.by	created.date
11306	Lotus rubriflorus	High elevation	4100	m	D. Ackerly	7/21/06
11307	Lotus salsuginosus	High elevation	1900	m	D. Ackerly	7/21/06
11308	Lotus salsuginosus var. brevivexillus	High elevation	1900	m	D. Ackerly	7/21/06
11309	Lotus salsuginosus var. salsuginosus	High elevation	1200	m	D. Ackerly	7/21/06
11310	Lotus scoparius	High elevation	1500	m	D. Ackerly	7/21/06
11311	Lotus scoparius var. brevialatus	High elevation	1400	m	D. Ackerly	7/21/06
11312	Lotus scoparius var. scoparius	High elevation	1500	m	D. Ackerly	7/21/06
11313	Lotus stipularis	High elevation	1200	m	D. Ackerly	7/21/06
11314	Lotus stipularis var. ottleyi	High elevation	1200	m	D. Ackerly	7/21/06
11315	Lotus stipularis var. stipularis	High elevation	1000	m	D. Ackerly	7/21/06
11316	Lotus strigosus	High elevation	2300	m	D. Ackerly	7/21/06
11317	Lotus uliginosus	High elevation	800	m	D. Ackerly	7/21/06
11318	Lotus wrangelianus	High elevation	1500	m	D. Ackerly	7/21/06
11319	Lotus yollabolliensis	High elevation	2100	m	D. Ackerly	7/21/06
11320	Lupinus adsurgens	High elevation	3500	m	D. Ackerly	7/21/06
11321	Lupinus affinis	High elevation	800	m	D. Ackerly	7/21/06
11322	Lupinus albicaulis	High elevation	3000	m	D. Ackerly	7/21/06
11323	Lupinus albifrons	High elevation	2000	m	D. Ackerly	7/21/06
11324	Lupinus albifrons var. abramsii	High elevation	2000	m	D. Ackerly	7/21/06
11325	Lupinus albifrons var. albifrons	High elevation	1500	m	D. Ackerly	7/21/06
11326	Lupinus albifrons var. collinus	High elevation	2000	m	D. Ackerly	7/21/06
11327	Lupinus albifrons var. douglasii	High elevation	500	m	D. Ackerly	7/21/06
11328	Lupinus andersonii	High elevation	3000	m	D. Ackerly	7/21/06
11329	Lupinus angustiflorus	High elevation	3500	m	D. Ackerly	7/21/06
11330	Lupinus antoninus	High elevation	4100	m	D. Ackerly	7/21/06
11331	Lupinus apertus	High elevation	3000	m	D. Ackerly	7/21/06
11332	Lupinus arboreus	High elevation	100	m	D. Ackerly	7/21/06
11333	Lupinus arbustus	High elevation	3000	m	D. Ackerly	7/21/06
11334	Lupinus argenteus	High elevation	3500	m	D. Ackerly	7/21/06
11335	Lupinus argenteus var. argenteus	High elevation	2000	m	D. Ackerly	7/21/06
11336	Lupinus argenteus var. heteranthus	High elevation	3000	m	D. Ackerly	7/21/06
11337	Lupinus argenteus var. meionanthus	High elevation	3500	m	D. Ackerly	7/21/06
11338	Lupinus argenteus var. montigenus	High elevation	3500	m	D. Ackerly	7/21/06
11339	Lupinus argenteus var. palmeri	High elevation	2500	m	D. Ackerly	7/21/06
11340	Lupinus arizonicus	High elevation	1100	m	D. Ackerly	7/21/06
11341	Lupinus benthamii	High elevation	1500	m	D. Ackerly	7/21/06
11342	Lupinus bicolor	High elevation	1600	m	D. Ackerly	7/21/06
11343	Lupinus brevicaulis	High elevation	2300	m	D. Ackerly	7/21/06
11344	Lupinus breweri	High elevation	4000	m	D. Ackerly	7/21/06
11345	Lupinus breweri var. breweri	High elevation	4000	m	D. Ackerly	7/21/06
11346	Lupinus breweri var. bryoides	High elevation	4000	m	D. Ackerly	7/21/06
11347	Lupinus breweri var. grandiflorus	High elevation	3500	m	D. Ackerly	7/21/06
11348	Lupinus cervinus	High elevation	1000	m	D. Ackerly	7/21/06
11349	Lupinus chamissonis	High elevation	100	m	D. Ackerly	7/21/06
11350	Lupinus citrinus	High elevation	1700	m	D. Ackerly	7/21/06
11351	Lupinus citrinus var. citrinus	High elevation	1700	m	D. Ackerly	7/21/06
11352	Lupinus citrinus var. deflexus	High elevation	600	m	D. Ackerly	7/21/06
11353	Lupinus concinnus	High elevation	1700	m	D. Ackerly	7/21/06
11354	Lupinus constancei	High elevation	2000	m	D. Ackerly	7/21/06
11355	Lupinus covillei	High elevation	3500	m	D. Ackerly	7/21/06
11356	Lupinus croceus	High elevation	2700	m	D. Ackerly	7/21/06
11357	Lupinus dalesiae	High elevation	2500	m	D. Ackerly	7/21/06
11358	Lupinus duranii	High elevation	2500	m	D. Ackerly	7/21/06
11359	Lupinus elatus	High elevation	3000	m	D. Ackerly	7/21/06
11360	Lupinus elmeri	High elevation	2000	m	D. Ackerly	7/21/06
11361	Lupinus excubitus	High elevation	3000	m	D. Ackerly	7/21/06
11362	Lupinus excubitus var. austromontanus	High elevation	3000	m	D. Ackerly	7/21/06
11363	Lupinus excubitus var. excubitus	High elevation	2500	m	D. Ackerly	7/21/06
11364	Lupinus excubitus var. hallii	High elevation	1500	m	D. Ackerly	7/21/06
11365	Lupinus excubitus var. johnstonii	High elevation	2500	m	D. Ackerly	7/21/06
11366	Lupinus excubitus var. medius	High elevation	1000	m	D. Ackerly	7/21/06
11367	Lupinus flavoculatus	High elevation	2200	m	D. Ackerly	7/21/06
11368	Lupinus formosus	High elevation	3000	m	D. Ackerly	7/21/06
11369	Lupinus formosus var. formosus	High elevation	3000	m	D. Ackerly	7/21/06
11370	Lupinus formosus var. robustus	High elevation	1500	m	D. Ackerly	7/21/06
11371	Lupinus fulcratus	High elevation	3000	m	D. Ackerly	7/21/06
11372	Lupinus gracilentus	High elevation	3500	m	D. Ackerly	7/21/06
11373	Lupinus grayi	High elevation	2500	m	D. Ackerly	7/21/06
11374	Lupinus guadalupensis	High elevation	300	m	D. Ackerly	7/21/06
11375	Lupinus hirsutissimus	High elevation	1400	m	D. Ackerly	7/21/06
11376	Lupinus holmgrenianus	High elevation	2500	m	D. Ackerly	7/21/06
11377	Lupinus hyacinthinus	High elevation	3500	m	D. Ackerly	7/21/06
11378	Lupinus lapidicola	High elevation	3000	m	D. Ackerly	7/21/06
11379	Lupinus latifolius	High elevation	3500	m	D. Ackerly	7/21/06
11380	Lupinus latifolius var. barbatus	High elevation	2500	m	D. Ackerly	7/21/06
11381	Lupinus latifolius var. columbianus	High elevation	3500	m	D. Ackerly	7/21/06
11382	Lupinus latifolius var. dudleyi	High elevation	1000	m	D. Ackerly	7/21/06
11383	Lupinus latifolius var. latifolius	High elevation	2500	m	D. Ackerly	7/21/06
11384	Lupinus latifolius var. parishii	High elevation	3500	m	D. Ackerly	7/21/06
11385	Lupinus latifolius var. viridifolius	High elevation	2000	m	D. Ackerly	7/21/06
11386	Lupinus lepidus	High elevation	4000	m	D. Ackerly	7/21/06
11387	Lupinus lepidus var. confertus	High elevation	3000	m	D. Ackerly	7/21/06
11388	Lupinus lepidus var. culbertsonii	High elevation	3000	m	D. Ackerly	7/21/06
11389	Lupinus lepidus var. lobbii	High elevation	3500	m	D. Ackerly	7/21/06
11390	Lupinus lepidus var. ramosus	High elevation	4000	m	D. Ackerly	7/21/06
11391	Lupinus lepidus var. sellulus	High elevation	3500	m	D. Ackerly	7/21/06
11392	Lupinus lepidus var. utahensis	High elevation	3500	m	D. Ackerly	7/21/06
11393	Lupinus leucophyllus	High elevation	2000	m	D. Ackerly	7/21/06
11394	Lupinus littoralis	High elevation	100	m	D. Ackerly	7/21/06
11395	Lupinus longifolius	High elevation	500	m	D. Ackerly	7/21/06
11396	Lupinus ludovicianus	High elevation	500	m	D. Ackerly	7/21/06
11397	Lupinus luteolus	High elevation	1900	m	D. Ackerly	7/21/06
11398	Lupinus magnificus	High elevation	2500	m	D. Ackerly	7/21/06
11399	Lupinus microcarpus	High elevation	1600	m	D. Ackerly	7/21/06
11400	Lupinus microcarpus var. densiflorus	High elevation	1600	m	D. Ackerly	7/21/06
11401	Lupinus microcarpus var. horizontalis	High elevation	1500	m	D. Ackerly	7/21/06
11402	Lupinus microcarpus var. microcarpus	High elevation	1600	m	D. Ackerly	7/21/06
11403	Lupinus nanus	High elevation	1300	m	D. Ackerly	7/21/06
11404	Lupinus nevadensis	High elevation	3000	m	D. Ackerly	7/21/06
11405	Lupinus nipomensis	High elevation	100	m	D. Ackerly	7/21/06
11406	Lupinus obtusilobus	High elevation	3500	m	D. Ackerly	7/21/06
11407	Lupinus odoratus	High elevation	1600	m	D. Ackerly	7/21/06
11408	Lupinus onustus	High elevation	2000	m	D. Ackerly	7/21/06
11409	Lupinus pachylobus	High elevation	600	m	D. Ackerly	7/21/06
11410	Lupinus padre-crowleyi	High elevation	4000	m	D. Ackerly	7/21/06
11411	Lupinus peirsonii	High elevation	2000	m	D. Ackerly	7/21/06
11412	Lupinus polyphyllus	High elevation	3000	m	D. Ackerly	7/21/06
11413	Lupinus polyphyllus var. burkei	High elevation	3000	m	D. Ackerly	7/21/06
11414	Lupinus polyphyllus var. pallidipes	High elevation	2500	m	D. Ackerly	7/21/06
11415	Lupinus polyphyllus var. polyphyllus	High elevation	3000	m	D. Ackerly	7/21/06
11416	Lupinus pratensis	High elevation	3500	m	D. Ackerly	7/21/06
11417	Lupinus pratensis var. eriostachyus	High elevation	3500	m	D. Ackerly	7/21/06
11418	Lupinus pratensis var. pratensis	High elevation	3500	m	D. Ackerly	7/21/06
11419	Lupinus pusillus var. intermontanus	High elevation	1600	m	D. Ackerly	7/21/06
11420	Lupinus rivularis	High elevation	500	m	D. Ackerly	7/21/06
11421	Lupinus saxosus	High elevation	2500	m	D. Ackerly	7/21/06
11422	Lupinus sericatus	High elevation	1500	m	D. Ackerly	7/21/06
11423	Lupinus shockleyi	High elevation	1200	m	D. Ackerly	7/21/06
11424	Lupinus sparsiflorus	High elevation	1300	m	D. Ackerly	7/21/06
11425	Lupinus spectabilis	High elevation	800	m	D. Ackerly	7/21/06
11426	Lupinus stiversii	High elevation	2100	m	D. Ackerly	7/21/06
11427	Lupinus succulentus	High elevation	800	m	D. Ackerly	7/21/06
11428	Lupinus tidestromii	High elevation	100	m	D. Ackerly	7/21/06
11429	Lupinus tracyi	High elevation	2000	m	D. Ackerly	7/21/06
11430	Lupinus truncatus	High elevation	1000	m	D. Ackerly	7/21/06
11431	Lupinus variicolor	High elevation	500	m	D. Ackerly	7/21/06
11432	Marina orcuttii var. orcuttii	High elevation	1200	m	D. Ackerly	7/21/06
11433	Marina parryi	High elevation	800	m	D. Ackerly	7/21/06
11434	Medicago arabica	High elevation	2000	m	D. Ackerly	7/21/06
11435	Medicago lupulina	High elevation	2500	m	D. Ackerly	7/21/06
11436	Medicago minima	High elevation	1000	m	D. Ackerly	7/21/06
11437	Medicago orbicularis	High elevation	500	m	D. Ackerly	7/21/06
11438	Medicago polymorpha	High elevation	1500	m	D. Ackerly	7/21/06
11439	Medicago praecox	High elevation	1500	m	D. Ackerly	7/21/06
11440	Medicago sativa	High elevation	1500	m	D. Ackerly	7/21/06
11441	Melilotus albus	High elevation	1500	m	D. Ackerly	7/21/06
11442	Melilotus indicus	High elevation	1500	m	D. Ackerly	7/21/06
11443	Melilotus officinalis	High elevation	1500	m	D. Ackerly	7/21/06
11444	Olneya tesota	High elevation	600	m	D. Ackerly	7/21/06
11445	Onobrychis viciifolia	High elevation	1200	m	D. Ackerly	7/21/06
11446	Ornithopus pinnatus	High elevation	200	m	D. Ackerly	7/21/06
11447	Ornithopus sativus	High elevation	200	m	D. Ackerly	7/21/06
11448	Oxytropis borealis var. viscida	High elevation	3900	m	D. Ackerly	7/21/06
11449	Oxytropis deflexa var. sericea	High elevation	4100	m	D. Ackerly	7/21/06
11450	Oxytropis oreophila var. oreophila	High elevation	3800	m	D. Ackerly	7/21/06
11451	Oxytropis parryi	High elevation	3800	m	D. Ackerly	7/21/06
11452	Parkinsonia aculeata	High elevation	400	m	D. Ackerly	7/21/06
11453	Pediomelum californicum	High elevation	2500	m	D. Ackerly	7/21/06
11454	Pediomelum castoreum	High elevation	1800	m	D. Ackerly	7/21/06
11455	Peteria thompsoniae	High elevation	900	m	D. Ackerly	7/21/06
11456	Phaseolus filiformis	High elevation	4100	m	D. Ackerly	7/21/06
11457	Pickeringia montana	High elevation	1700	m	D. Ackerly	7/21/06
11458	Pickeringia montana var. montana	High elevation	700	m	D. Ackerly	7/21/06
11459	Pickeringia montana var. tomentosa	High elevation	1700	m	D. Ackerly	7/21/06
11460	Pisum sativum	High elevation	1000	m	D. Ackerly	7/21/06
11461	Prosopis glandulosa var. torreyana	High elevation	1700	m	D. Ackerly	7/21/06
11462	Prosopis pubescens	High elevation	1300	m	D. Ackerly	7/21/06
11463	Prosopis strombulifera	High elevation	100	m	D. Ackerly	7/21/06
11464	Prosopis velutina	High elevation	1700	m	D. Ackerly	7/21/06
11465	Psoralidium lanceolatum	High elevation	2500	m	D. Ackerly	7/21/06
11466	Psorothamnus arborescens	High elevation	1900	m	D. Ackerly	7/21/06
11467	Psorothamnus arborescens var. arborescens	High elevation	800	m	D. Ackerly	7/21/06
11468	Psorothamnus arborescens var. minutifolius	High elevation	1900	m	D. Ackerly	7/21/06
11469	Psorothamnus arborescens var. simplicifolius	High elevation	1100	m	D. Ackerly	7/21/06
11470	Psorothamnus emoryi	High elevation	700	m	D. Ackerly	7/21/06
11471	Psorothamnus fremontii	High elevation	1400	m	D. Ackerly	7/21/06
11472	Psorothamnus fremontii var. attenuatus	High elevation	900	m	D. Ackerly	7/21/06
11473	Psorothamnus fremontii var. fremontii	High elevation	1400	m	D. Ackerly	7/21/06
11474	Psorothamnus polydenius	High elevation	2300	m	D. Ackerly	7/21/06
11475	Psorothamnus schottii	High elevation	600	m	D. Ackerly	7/21/06
11476	Psorothamnus spinosus	High elevation	400	m	D. Ackerly	7/21/06
11477	Robinia neomexicana	High elevation	1500	m	D. Ackerly	7/21/06
11478	Robinia pseudoacacia	High elevation	1900	m	D. Ackerly	7/21/06
11479	Rupertia hallii	High elevation	2300	m	D. Ackerly	7/21/06
11480	Rupertia physodes	High elevation	2500	m	D. Ackerly	7/21/06
11481	Rupertia rigida	High elevation	2500	m	D. Ackerly	7/21/06
11482	Senna armata	High elevation	1000	m	D. Ackerly	7/21/06
11483	Senna covesii	High elevation	600	m	D. Ackerly	7/21/06
11484	Senna didymobotrya	High elevation	100	m	D. Ackerly	7/21/06
11485	Senna multiglandulosa	High elevation	500	m	D. Ackerly	7/21/06
11486	Sesbania exaltata	High elevation	500	m	D. Ackerly	7/21/06
11487	Spartium junceum	High elevation	600	m	D. Ackerly	7/21/06
11488	Sphaerophysa salsula	High elevation	500	m	D. Ackerly	7/21/06
11489	Thermopsis macrophylla	High elevation	2100	m	D. Ackerly	7/21/06
11490	Thermopsis macrophylla var. argentata	High elevation	1500	m	D. Ackerly	7/21/06
11491	Thermopsis macrophylla var. macrophylla	High elevation	2100	m	D. Ackerly	7/21/06
11492	Thermopsis macrophylla var. semota	High elevation	1500	m	D. Ackerly	7/21/06
11493	Thermopsis macrophylla var. venosa	High elevation	1300	m	D. Ackerly	7/21/06
11494	Trifolium albopurpureum	High elevation	2100	m	D. Ackerly	7/21/06
11495	Trifolium albopurpureum var. albopurpureum	High elevation	1100	m	D. Ackerly	7/21/06
11496	Trifolium albopurpureum var. dichotomum	High elevation	1300	m	D. Ackerly	7/21/06
11497	Trifolium albopurpureum var. olivaceum	High elevation	500	m	D. Ackerly	7/21/06
11498	Trifolium amoenum	High elevation	100	m	D. Ackerly	7/21/06
11499	Trifolium andersonii	High elevation	4000	m	D. Ackerly	7/21/06
11500	Trifolium andersonii var. andersonii	High elevation	2000	m	D. Ackerly	7/21/06
11501	Trifolium andersonii var. beatleyae	High elevation	4000	m	D. Ackerly	7/21/06
11502	Trifolium angustifolium	High elevation	200	m	D. Ackerly	7/21/06
11503	Trifolium arvense	High elevation	300	m	D. Ackerly	7/21/06
11504	Trifolium aureum	High elevation	200	m	D. Ackerly	7/21/06
11505	Trifolium barbigerum	High elevation	700	m	D. Ackerly	7/21/06
11506	Trifolium barbigerum var. andrewsii	High elevation	600	m	D. Ackerly	7/21/06
11507	Trifolium barbigerum var. barbigerum	High elevation	700	m	D. Ackerly	7/21/06
11508	Trifolium beckwithii	High elevation	2100	m	D. Ackerly	7/21/06
11509	Trifolium bifidum	High elevation	1000	m	D. Ackerly	7/21/06
11510	Trifolium bifidum var. bifidum	High elevation	600	m	D. Ackerly	7/21/06
11511	Trifolium bifidum var. decipiens	High elevation	1000	m	D. Ackerly	7/21/06
11512	Trifolium bolanderi	High elevation	2300	m	D. Ackerly	7/21/06
11513	Trifolium breweri	High elevation	1800	m	D. Ackerly	7/21/06
11514	Trifolium buckwestiorum	High elevation	200	m	D. Ackerly	7/21/06
11515	Trifolium campestre	High elevation	300	m	D. Ackerly	7/21/06
11516	Trifolium ciliolatum	High elevation	1700	m	D. Ackerly	7/21/06
11517	Trifolium cyathiferum	High elevation	2500	m	D. Ackerly	7/21/06
11518	Trifolium depauperatum	High elevation	900	m	D. Ackerly	7/21/06
11519	Trifolium depauperatum var. amplectens	High elevation	800	m	D. Ackerly	7/21/06
11520	Trifolium depauperatum var. depauperatum	High elevation	900	m	D. Ackerly	7/21/06
11521	Trifolium depauperatum var. hydrophilum	High elevation	300	m	D. Ackerly	7/21/06
11522	Trifolium depauperatum var. truncatum	High elevation	800	m	D. Ackerly	7/21/06
11523	Trifolium dubium	High elevation	500	m	D. Ackerly	7/21/06
11524	Trifolium eriocephalum var. eriocephalum	High elevation	1500	m	D. Ackerly	7/21/06
11525	Trifolium fragiferum	High elevation	1500	m	D. Ackerly	7/21/06
11526	Trifolium fucatum	High elevation	1100	m	D. Ackerly	7/21/06
11527	Trifolium glomeratum	High elevation	300	m	D. Ackerly	7/21/06
11528	Trifolium gracilentum	High elevation	1800	m	D. Ackerly	7/21/06
11529	Trifolium gracilentum var. gracilentum	High elevation	1800	m	D. Ackerly	7/21/06
11530	Trifolium gracilentum var. palmeri	High elevation	100	m	D. Ackerly	7/21/06
11531	Trifolium gymnocarpon var. plummerae	High elevation	1800	m	D. Ackerly	7/21/06
11532	Trifolium hirtum	High elevation	2100	m	D. Ackerly	7/21/06
11533	Trifolium howellii	High elevation	1800	m	D. Ackerly	7/21/06
11534	Trifolium hybridum	High elevation	1500	m	D. Ackerly	7/21/06
11535	Trifolium incarnatum	High elevation	300	m	D. Ackerly	7/21/06
11536	Trifolium kingii var. productum	High elevation	2400	m	D. Ackerly	7/21/06
11537	Trifolium lemmonii	High elevation	1800	m	D. Ackerly	7/21/06
11538	Trifolium longipes	High elevation	3000	m	D. Ackerly	7/21/06
11539	Trifolium longipes var. elmeri	High elevation	1700	m	D. Ackerly	7/21/06
11540	Trifolium longipes var. nevadense	High elevation	3000	m	D. Ackerly	7/21/06
11541	Trifolium longipes var. oreganum	High elevation	1800	m	D. Ackerly	7/21/06
11542	Trifolium longipes var. shastense	High elevation	2700	m	D. Ackerly	7/21/06
11543	Trifolium macilentum var. dedeckerae	High elevation	3500	m	D. Ackerly	7/21/06
11544	Trifolium macraei	High elevation	600	m	D. Ackerly	7/21/06
11545	Trifolium macrocephalum	High elevation	2500	m	D. Ackerly	7/21/06
11546	Trifolium microcephalum	High elevation	2700	m	D. Ackerly	7/21/06
11547	Trifolium microdon	High elevation	1100	m	D. Ackerly	7/21/06
11548	Trifolium monanthum	High elevation	3800	m	D. Ackerly	7/21/06
11549	Trifolium monanthum var. grantianum	High elevation	2700	m	D. Ackerly	7/21/06
11550	Trifolium monanthum var. monanthum	High elevation	3800	m	D. Ackerly	7/21/06
11551	Trifolium obtusiflorum	High elevation	1800	m	D. Ackerly	7/21/06
11552	Trifolium oliganthum	High elevation	1000	m	D. Ackerly	7/21/06
11553	Trifolium pratense	High elevation	1000	m	D. Ackerly	7/21/06
11554	Trifolium repens	High elevation	1500	m	D. Ackerly	7/21/06
11555	Trifolium subterraneum	High elevation	1000	m	D. Ackerly	7/21/06
11556	Trifolium trichocalyx	High elevation	100	m	D. Ackerly	7/21/06
11557	Trifolium variegatum	High elevation	4100	m	D. Ackerly	7/21/06
11558	Trifolium variegatum phase 1	High elevation	2500	m	D. Ackerly	7/21/06
11559	Trifolium variegatum phase 2	High elevation	2200	m	D. Ackerly	7/21/06
11560	Trifolium variegatum phase 3	High elevation	1100	m	D. Ackerly	7/21/06
11561	Trifolium variegatum phase 4	High elevation	300	m	D. Ackerly	7/21/06
11562	Trifolium variegatum phase 5	High elevation	2500	m	D. Ackerly	7/21/06
11563	Trifolium willdenovii	High elevation	1700	m	D. Ackerly	7/21/06
11564	Trifolium wormskioldii	High elevation	3200	m	D. Ackerly	7/21/06
11565	Ulex europaeus	High elevation	400	m	D. Ackerly	7/21/06
11566	Vicia americana var. americana	High elevation	2400	m	D. Ackerly	7/21/06
11567	Vicia benghalensis	High elevation	200	m	D. Ackerly	7/21/06
11568	Vicia cracca	High elevation	1500	m	D. Ackerly	7/21/06
11569	Vicia disperma	High elevation	100	m	D. Ackerly	7/21/06
11570	Vicia faba	High elevation	200	m	D. Ackerly	7/21/06
11571	Vicia gigantea	High elevation	200	m	D. Ackerly	7/21/06
11572	Vicia hassei	High elevation	600	m	D. Ackerly	7/21/06
11573	Vicia hirsuta	High elevation	200	m	D. Ackerly	7/21/06
11574	Vicia lathyroides	High elevation	1000	m	D. Ackerly	7/21/06
11575	Vicia ludoviciana var. ludoviciana	High elevation	1000	m	D. Ackerly	7/21/06
11576	Vicia lutea	High elevation	200	m	D. Ackerly	7/21/06
11577	Vicia pannonica	High elevation	200	m	D. Ackerly	7/21/06
11578	Vicia sativa	High elevation	1500	m	D. Ackerly	7/21/06
11579	Vicia sativa ssp. nigra	High elevation	1500	m	D. Ackerly	7/21/06
11580	Vicia sativa ssp. sativa	High elevation	500	m	D. Ackerly	7/21/06
11581	Vicia tetrasperma	High elevation	1000	m	D. Ackerly	7/21/06
11582	Vicia villosa	High elevation	1000	m	D. Ackerly	7/21/06
11583	Vicia villosa ssp. varia	High elevation	1000	m	D. Ackerly	7/21/06
11584	Vicia villosa ssp. villosa	High elevation	1000	m	D. Ackerly	7/21/06
11585	Chrysolepis chrysophylla	High elevation	2000	m	D. Ackerly	7/21/06
11586	Chrysolepis chrysophylla var. chrysophylla	High elevation	2000	m	D. Ackerly	7/21/06
11587	Chrysolepis chrysophylla var. minor	High elevation	1800	m	D. Ackerly	7/21/06
11588	Chrysolepis sempervirens	High elevation	3300	m	D. Ackerly	7/21/06
11589	Lithocarpus densiflorus	High elevation	2000	m	D. Ackerly	7/21/06
11590	Lithocarpus densiflorus var. densiflorus	High elevation	1500	m	D. Ackerly	7/21/06
11591	Lithocarpus densiflorus var. echinoides	High elevation	2000	m	D. Ackerly	7/21/06
11592	Quercus X-acutidens	High elevation	1600	m	D. Ackerly	7/21/06
11593	Quercus agrifolia	High elevation	1500	m	D. Ackerly	7/21/06
11594	Quercus agrifolia var. agrifolia	High elevation	900	m	D. Ackerly	7/21/06
11595	Quercus agrifolia var. oxyadenia	High elevation	1500	m	D. Ackerly	7/21/06
11596	Quercus X-alvordiana	High elevation	1300	m	D. Ackerly	7/21/06
11597	Quercus berberidifolia	High elevation	1500	m	D. Ackerly	7/21/06
11598	Quercus chrysolepis	High elevation	2600	m	D. Ackerly	7/21/06
11599	Quercus cornelius-mulleri	High elevation	1800	m	D. Ackerly	7/21/06
11600	Quercus douglasii	High elevation	1200	m	D. Ackerly	7/21/06
11601	Quercus dumosa	High elevation	200	m	D. Ackerly	7/21/06
11602	Quercus durata	High elevation	1500	m	D. Ackerly	7/21/06
11603	Quercus durata var. durata	High elevation	1500	m	D. Ackerly	7/21/06
11604	Quercus durata var. gabrielensis	High elevation	1000	m	D. Ackerly	7/21/06
11605	Quercus engelmannii	High elevation	1300	m	D. Ackerly	7/21/06
11606	Quercus garryana	High elevation	1800	m	D. Ackerly	7/21/06
11607	Quercus garryana var. breweri	High elevation	1800	m	D. Ackerly	7/21/06
11608	Quercus garryana var. garryana	High elevation	1800	m	D. Ackerly	7/21/06
11609	Quercus john-tuckeri	High elevation	2000	m	D. Ackerly	7/21/06
11610	Quercus kelloggii	High elevation	2400	m	D. Ackerly	7/21/06
11611	Quercus lobata	High elevation	1700	m	D. Ackerly	7/21/06
11612	Quercus X-macdonaldii	High elevation	600	m	D. Ackerly	7/21/06
11613	Quercus palmeri	High elevation	1300	m	D. Ackerly	7/21/06
11614	Quercus parvula	High elevation	1000	m	D. Ackerly	7/21/06
11615	Quercus parvula var. parvula	High elevation	500	m	D. Ackerly	7/21/06
11616	Quercus parvula var. shrevei	High elevation	1000	m	D. Ackerly	7/21/06
11617	Quercus sadleriana	High elevation	2200	m	D. Ackerly	7/21/06
11618	Quercus tomentella	High elevation	600	m	D. Ackerly	7/21/06
11619	Quercus turbinella	High elevation	2000	m	D. Ackerly	7/21/06
11620	Quercus vacciniifolia	High elevation	2800	m	D. Ackerly	7/21/06
11621	Quercus wislizeni	High elevation	2000	m	D. Ackerly	7/21/06
11622	Quercus wislizeni var. frutescens	High elevation	2000	m	D. Ackerly	7/21/06
11623	Quercus wislizeni var. wislizeni	High elevation	1600	m	D. Ackerly	7/21/06
11624	Fouquieria splendens ssp. splendens	High elevation	700	m	D. Ackerly	7/21/06
11625	Frankenia palmeri	High elevation	500	m	D. Ackerly	7/21/06
11626	Frankenia salina	High elevation	800	m	D. Ackerly	7/21/06
11627	Garrya buxifolia	High elevation	2100	m	D. Ackerly	7/21/06
11628	Garrya congdonii	High elevation	800	m	D. Ackerly	7/21/06
11629	Garrya elliptica	High elevation	800	m	D. Ackerly	7/21/06
11630	Garrya flavescens	High elevation	2400	m	D. Ackerly	7/21/06
11631	Garrya fremontii	High elevation	2300	m	D. Ackerly	7/21/06
11632	Garrya veatchii	High elevation	1800	m	D. Ackerly	7/21/06
11633	Centaurium calycosum	High elevation	100	m	D. Ackerly	7/21/06
11634	Centaurium davyi	High elevation	1000	m	D. Ackerly	7/21/06
11635	Centaurium erythraea	High elevation	200	m	D. Ackerly	7/21/06
11636	Centaurium exaltatum	High elevation	1500	m	D. Ackerly	7/21/06
11637	Centaurium muehlenbergii	High elevation	500	m	D. Ackerly	7/21/06
11638	Centaurium trichanthum	High elevation	800	m	D. Ackerly	7/21/06
11639	Centaurium venustum	High elevation	1300	m	D. Ackerly	7/21/06
11640	Cicendia quadrangularis	High elevation	2700	m	D. Ackerly	7/21/06
11641	Eustoma exaltatum	High elevation	600	m	D. Ackerly	7/21/06
11642	Gentiana affinis var. ovata	High elevation	2300	m	D. Ackerly	7/21/06
11643	Gentiana calycosa	High elevation	3900	m	D. Ackerly	7/21/06
11644	Gentiana fremontii	High elevation	2700	m	D. Ackerly	7/21/06
11645	Gentiana newberryi	High elevation	4000	m	D. Ackerly	7/21/06
11646	Gentiana newberryi var. newberryi	High elevation	2200	m	D. Ackerly	7/21/06
11647	Gentiana newberryi var. tiogana	High elevation	4000	m	D. Ackerly	7/21/06
11648	Gentiana plurisetosa	High elevation	1900	m	D. Ackerly	7/21/06
11649	Gentiana prostrata	High elevation	3800	m	D. Ackerly	7/21/06
11650	Gentiana sceptrum	High elevation	1200	m	D. Ackerly	7/21/06
11651	Gentiana setigera	High elevation	4100	m	D. Ackerly	7/21/06
11652	Gentianella amarella ssp. acuta	High elevation	3500	m	D. Ackerly	7/21/06
11653	Gentianella tenella ssp. tenella	High elevation	3900	m	D. Ackerly	7/21/06
11654	Gentianopsis holopetala	High elevation	4000	m	D. Ackerly	7/21/06
11655	Gentianopsis simplex	High elevation	3400	m	D. Ackerly	7/21/06
11656	Swertia albicaulis	High elevation	2200	m	D. Ackerly	7/21/06
11657	Swertia albicaulis var. albicaulis	High elevation	1600	m	D. Ackerly	7/21/06
11658	Swertia albicaulis var. nitida	High elevation	1900	m	D. Ackerly	7/21/06
11659	Swertia albomarginata	High elevation	2200	m	D. Ackerly	7/21/06
11660	Swertia fastigiata	High elevation	1900	m	D. Ackerly	7/21/06
11661	Swertia neglecta	High elevation	2500	m	D. Ackerly	7/21/06
11662	Swertia parryi	High elevation	1900	m	D. Ackerly	7/21/06
