"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"121","Garrya fremontii","north",181,924,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Garrya veatchii","north",3,773,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Geoffroea decorticans","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Gevuina avellana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Gomortega keule","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Haplorhus peruviana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Hesperocyparis bakeri","north",0,167,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Hesperocyparis forbesii","north",0,122,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hesperocyparis goveniana","north",26,124,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Hesperocyparis macnabiana","north",233,477,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Hesperocyparis macrocarpa","north",4,120,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Hesperocyparis sargentii","north",480,621,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Heteromeles arbutifolia","north",398,4035,3917,NA,NA,NA,"HETARB","Heteromeles arbutifolia","Toyon",552,138,99,NA,12,""
"134","Jubaea chilensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Juglans californica","north",14,1141,1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Juglans hindsii","north",60,487,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Juniperus californica","north",17,1017,553,1,131,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Juniperus communis","north",0,383,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Juniperus grandis","north",0,438,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Juniperus occidentalis","north",4,1565,1225,0,487,566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Juniperus osteosperma","north",0,557,15,0,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Juniperus scopulorum","north",0,4,46,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Kageneckia angustifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Kageneckia oblonga","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Karwinskia humboldtiana","north",0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Koeberlinia spinosa","north",0,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Larix lyallii","north",0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Larix occidentalis","north",0,0,5,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Latua pubiflora","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Laurelia sempervirens","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Laureliopsis philippiana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Legrandia concinna","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Lepidospartum squamatum","north",0,1289,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Lithocarpus densiflorus",NA,NA,NA,NA,NA,NA,NA,"NOTDEN","Notholithocarpus densiflorus","Tanoak",11,7,3,NA,13,"name!"
"155","Lithraea caustica","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Lomatia dentata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Lomatia ferruginea","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Lomatia hirsuta","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Luma apiculata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Luma chequen","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Lyonothamnus floribundus","north",0,492,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Malosma laurina","north",0,2379,2392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Malus fusca","north",2,86,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Maytenus boaria","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Maytenus magellanica","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Maytenus phyllanthoides","north",0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Mimulus aurantiacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,""
"168","Monttea chilensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Morella californica","north",193,509,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Morella pavonis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Myrceugenia chrysocarpa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Myrceugenia colchaguensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Myrceugenia correifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Myrceugenia exsucca","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Myrceugenia obtusa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Myrceugenia ovata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Myrceugenia parvifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Myrceugenia planipes","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Nassella pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,""
"180","Nothofagus alessandri","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Nothofagus alpina","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Nothofagus antarctica","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Nothofagus betuloides","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Nothofagus dombeyi","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Nothofagus glauca","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Nothofagus macrocarpa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Nothofagus nitida","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Nothofagus obliqua","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Nothofagus pumilio","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Notholithocarpus densiflorus","north",399,1506,1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Oemleria cerasiformis","north",187,846,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Olneya tesota","north",0,367,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Otholobium glandulosum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Ovidia andina","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Parkinsonia florida","north",0,333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Parkinsonia microphylla","north",0,117,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Persea lingue","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Peucephyllum schottii","north",0,831,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Peumus boldus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Picea breweriana","north",0,221,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Picea engelmannii","north",0,40,160,0,2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Picea glauca","north",0,0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Picea sitchensis","north",32,204,1770,0,24,537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Pilgerodendron uviferum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Pinus attenuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,""
"206","Pinus balfouriana","north",0,382,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Pinus contorta","north",221,1912,2333,2,434,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA
