id	taxon	LowEl	HighEl
465	Ageratina herbacea	1600	2200
466	Ageratina occidentalis	2100	3700
467	Ageratina shastensis	400	1800
468	Agoseris apargioides	0	500
469	Agoseris apargioides var. apargioides	0	500
470	Agoseris apargioides var. eastwoodiae	0	100
471	Agoseris aurantiaca	1500	3500
472	Agoseris elata	1600	3200
473	Agoseris glauca	1400	3800
474	Agoseris glauca var. glauca	1400	2500
475	Agoseris glauca var. laciniata	1400	3800
476	Agoseris glauca var. monticola	1500	3800
477	Agoseris grandiflora	0	2000
478	Agoseris heterophylla	0	2000
479	Agoseris retrorsa	400	2800
480	Amblyopappus pusillus	0	100
481	Ambrosia acanthicarpa	0	2200
482	Ambrosia ambrosioides	0	100
483	Ambrosia artemisiifolia	0	700
484	Ambrosia chamissonis	0	100
485	Ambrosia chenopodiifolia	0	200
486	Ambrosia confertiflora	0	400
487	Ambrosia dumosa	0	1600
488	Ambrosia eriocentra	800	1700
489	Ambrosia ilicifolia	0	500
490	Ambrosia psilostachya	0	1000
491	Ambrosia pumila	0	200
492	Ambrosia trifida	0	100
493	Amphipappus fremontii	0	1600
494	Amphipappus fremontii var. fremontii	0	1600
495	Amphipappus fremontii var. spinosus	0	1600
496	Anaphalis margaritacea	0	3200
497	Ancistrocarphus filagineus	0	1900
498	Anisocoma acaulis	600	2400
499	Antennaria argentea	800	2000
500	Antennaria corymbosa	1900	3200
501	Antennaria dimorpha	800	2400
502	Antennaria flagellaris	1700	1800
503	Antennaria geyeri	900	2400
504	Antennaria howellii ssp. howellii	1300	2000
505	Antennaria luzuloides	1300	1900
506	Antennaria marginata	2100	4100
507	Antennaria media	1800	3900
508	Antennaria pulchella	2800	3700
509	Antennaria racemosa	1200	2000
510	Antennaria rosea	1200	3700
511	Antennaria rosea ssp. confinis	1200	3700
512	Antennaria rosea ssp. rosea	1200	3700
513	Antennaria suffrutescens	500	1600
514	Antennaria umbrinella	1800	2000
515	Anthemis arvensis	1000	4100
516	Anthemis cotula	0	2000
517	Anthemis tinctoria	0	2000
518	Arctium lappa	0	500
519	Arctium minus	0	1200
520	Arctotheca calendula	0	300
521	Arctotis stoechadifolia	0	300
522	Argyranthemum foeniculaceum	0	200
523	Arnica amplexicaulis	2200	3500
524	Arnica cernua	500	1500
525	Arnica chamissonis ssp. foliosa	1800	3500
526	Arnica cordifolia	1200	3000
527	Arnica discoidea	500	1500
528	Arnica diversifolia	1800	3400
529	Arnica fulgens	1800	2700
530	Arnica latifolia	1800	2400
531	Arnica longifolia	1800	3500
532	Arnica mollis	2500	3500
533	Arnica nevadensis	2000	3000
534	Arnica parryi	600	2400
535	Arnica sororia	1400	1800
536	Arnica spathulata	1000	1800
537	Arnica tomentella	1500	2200
538	Arnica venosa	400	1400
539	Arnica viscosa	2000	2500
540	Artemisia annua	0	1000
541	Artemisia arbuscula	1500	3800
542	Artemisia arbuscula ssp. arbuscula	1500	3800
543	Artemisia arbuscula ssp. thermopola	2200	2500
544	Artemisia biennis	0	2200
545	Artemisia bigelovii	1300	1900
546	Artemisia californica	0	800
547	Artemisia campestris ssp. borealis	2200	4100
548	Artemisia cana ssp. bolanderi	1600	3300
549	Artemisia douglasiana	0	2200
550	Artemisia dracunculus	0	3400
551	Artemisia ludoviciana	0	3500
552	Artemisia ludoviciana ssp. albula	0	1400
553	Artemisia ludoviciana ssp. candicans	0	2400
554	Artemisia ludoviciana ssp. incompta	0	3500
555	Artemisia ludoviciana ssp. ludoviciana	0	2600
556	Artemisia michauxiana	3000	3500
557	Artemisia nesiotica	0	100
558	Artemisia norvegica ssp. saxatilis	2300	3800
559	Artemisia nova	0	2300
560	Artemisia palmeri	0	600
561	Artemisia pycnocephala	0	200
562	Artemisia rothrockii	2000	3100
563	Artemisia spiciformis	2100	3700
564	Artemisia spinescens	900	1600
565	Artemisia suksdorfii	0	300
566	Artemisia tridentata	300	3000
567	Artemisia tridentata ssp. parishii	1900	2100
568	Artemisia tridentata ssp. tridentata	800	1900
569	Artemisia tridentata ssp. vaseyana	1800	3000
570	Artemisia tridentata ssp. wyomingensis	0	2200
571	Aster alpigenus var. andersonii	1500	3700
572	Aster ascendens	500	2000
573	Aster bernardinus	0	1500
574	Aster breweri	1500	2700
575	Aster brickellioides	600	2000
576	Aster campestris	1800	2700
577	Aster chilensis	0	500
578	Aster eatonii	500	2000
579	Aster engelmannii	1800	2000
580	Aster foliaceus	1400	3200
581	Aster foliaceus var. lyallii	1500	2200
582	Aster foliaceus var. parryi	1400	3200
583	Aster frondosus	700	2200
584	Aster greatae	800	1500
585	Aster integrifolius	1600	3200
586	Aster lanceolatus ssp. hesperius	0	1500
587	Aster ledophyllus	1300	1900
588	Aster lentus	0	200
589	Aster occidentalis	1200	2800
590	Aster occidentalis var. occidentalis	1200	2800
591	Aster occidentalis var. yosemitanus	1200	2100
592	Aster oregonensis	800	2200
593	Aster pauciflorus	200	700
594	Aster peirsonii	3000	3800
595	Aster radulinus	100	1500
596	Aster scopulorum	1500	3000
597	Aster subulatus var. ligulatus	0	200
598	Atrichoseris platyphylla	0	1400
599	Baccharis brachyphylla	300	1200
600	Baccharis douglasii	0	800
601	Baccharis emoryi	0	600
602	Baccharis pilularis	0	750
603	Baccharis plummerae	0	500
604	Baccharis plummerae ssp. glabrata	0	100
605	Baccharis plummerae ssp. plummerae	0	500
606	Baccharis salicifolia	0	1300
607	Baccharis sarothroides	0	900
608	Baccharis sergiloides	600	1600
609	Baccharis vanessae	0	400
610	Bahia dissecta	1800	2700
611	Baileya multiradiata var. multiradiata	600	1600
612	Baileya pauciradiata	0	1100
613	Baileya pleniradiata	0	1500
614	Balsamorhiza deltoidea	300	2400
615	Balsamorhiza hirsuta	1400	1800
616	Balsamorhiza hookeri var. lanata	800	1100
617	Balsamorhiza macrolepis	0	1800
618	Balsamorhiza macrolepis var. macrolepis	0	1400
619	Balsamorhiza macrolepis var. platylepis	1300	1800
620	Balsamorhiza sagittata	1400	2600
621	Balsamorhiza sericea	0	4100
622	Balsamorhiza serrata	1400	1500
623	Bebbia juncea var. aspera	0	1500
624	Bellis perennis	0	200
625	Bidens cernua var. cernua	0	2000
626	Bidens frondosa	0	1600
627	Bidens laevis	0	300
628	Bidens pilosa var. pilosa	0	800
629	Bidens tripartita	0	1600
630	Bidens vulgata	0	300
631	Blennosperma bakeri	0	100
632	Blennosperma nanum	0	1600
633	Blennosperma nanum var. nanum	0	1600
634	Blennosperma nanum var. robustum	0	100
635	Blepharipappus scaber	1000	3000
636	Blepharizonia plumosa	0	1100
637	Blepharizonia plumosa ssp. plumosa	0	400
638	Blepharizonia plumosa ssp. viscida	0	1100
639	Brickellia arguta	0	1500
640	Brickellia arguta var. arguta	0	1500
641	Brickellia arguta var. odontolepis	0	1500
642	Brickellia atractyloides	600	1400
643	Brickellia californica	0	2700
644	Brickellia desertorum	200	1400
645	Brickellia frutescens	600	1200
646	Brickellia grandiflora	1500	2700
647	Brickellia greenei	900	2700
648	Brickellia incana	0	1700
649	Brickellia knappiana	800	1700
650	Brickellia longifolia	1000	1700
651	Brickellia microphylla	1000	2700
652	Brickellia multiflora	600	2400
653	Brickellia nevinii	300	1900
654	Brickellia oblongifolia var. linifolia	0	2800
655	Brickellia watsonii	1500	2400
656	Cacaliopsis nardosmia	200	1900
657	Calendula arvensis	0	200
658	Calendula officinalis	0	500
659	Calycadenia fremontii	100	1400
660	Calycadenia hooveri	0	300
661	Calycadenia mollis	100	1500
662	Calycadenia multiglandulosa	0	1000
663	Calycadenia oppositifolia	0	900
664	Calycadenia pauciflora	100	1000
665	Calycadenia spicata	0	1400
666	Calycadenia truncata	0	1500
667	Calycadenia villosa	0	1100
668	Calycoseris parryi	0	2000
669	Calycoseris wrightii	100	1200
670	Carduus acanthoides	0	1300
671	Carduus nutans	100	1200
672	Carduus pycnocephalus	0	1000
673	Carduus tenuiflorus	0	1000
674	Carthamus baeticus	0	500
675	Carthamus lanatus	0	1100
676	Carthamus leucocaulos	0	200
677	Carthamus tinctorius	0	1000
678	Centaurea calcitrapa	0	1000
679	Centaurea cyanus	0	2000
680	Centaurea diffusa	0	2300
681	Centaurea diluta	0	100
682	Centaurea iberica	0	1000
683	Centaurea maculosa	0	2000
684	Centaurea melitensis	0	2200
685	Centaurea nigra	0	500
686	Centaurea X-pratensis	0	4100
687	Centaurea solstitialis	0	1300
688	Centaurea squarrosa	0	1400
689	Centaurea sulphurea	0	300
690	Chaenactis alpigena	2300	4000
691	Chaenactis artemisiifolia	0	1600
692	Chaenactis carphoclinia	0	1900
693	Chaenactis carphoclinia var. carphoclinia	0	1900
694	Chaenactis carphoclinia var. peirsonii	0	500
695	Chaenactis douglasii	1000	3500
696	Chaenactis douglasii var. alpina	3000	3400
697	Chaenactis douglasii var. douglasii	1000	3500
698	Chaenactis fremontii	0	1600
699	Chaenactis glabriuscula	0	1600
700	Chaenactis glabriuscula var. glabriuscula	0	1600
701	Chaenactis glabriuscula var. heterocarpha	0	1600
702	Chaenactis glabriuscula var. lanosa	0	700
703	Chaenactis glabriuscula var. megacephala	0	1600
704	Chaenactis glabriuscula var. orcuttiana	0	100
705	Chaenactis macrantha	1000	2000
706	Chaenactis nevadensis	1900	3200
707	Chaenactis parishii	1300	2500
708	Chaenactis santolinoides	1500	2800
709	Chaenactis stevioides	0	2100
710	Chaenactis suffrutescens	800	2100
711	Chaenactis xantiana	300	2500
712	Chaetadelpha wheeleri	900	1900
713	Chaetopappa ericoides	1300	2900
714	Chamaemelum fuscatum	0	100
715	Chamaemelum nobile	0	100
716	Chamomilla occidentalis	0	2400
717	Chamomilla suaveolens	0	800
718	Chloracantha spinosa var. spinosa	0	1300
719	Chondrilla juncea	0	600
720	Chrysanthemum carinatum	0	100
721	Chrysanthemum coronarium	0	200
722	Chrysanthemum segetum	0	200
723	Chrysothamnus albidus	300	1300
724	Chrysothamnus depressus	1000	2100
725	Chrysothamnus gramineus	2200	2900
726	Chrysothamnus greenei	1300	1900
727	Chrysothamnus humilis	1400	3100
728	Chrysothamnus nauseosus	0	3300
729	Chrysothamnus nauseosus ssp. albicaulis	0	3300
730	Chrysothamnus nauseosus ssp. bernardinus	1200	2900
731	Chrysothamnus nauseosus ssp. ceruminosus	700	1700
732	Chrysothamnus nauseosus ssp. consimilis	1000	2900
733	Chrysothamnus nauseosus ssp. hololeucus	100	2500
734	Chrysothamnus nauseosus ssp. leiospermus	700	2400
735	Chrysothamnus nauseosus ssp. mohavensis	400	2400
