species,hemisphere,chilefornia_northbay,chilefornia_california,chilefornia_westernNA,fia_northbay,fia_california,fia_westernNA
Sorbus scopulina,north,0,249,327,NA,NA,NA
Sorbus sitchensis,north,0,35,288,NA,NA,NA
Staphylea bolanderi,north,0,135,135,NA,NA,NA
Styrax redivivus,north,47,681,673,NA,NA,NA
Taxus brevifolia,north,57,529,909,1,41,429
Tepualia stipularis,south,0,0,0,NA,NA,NA
Thuja plicata,north,1,121,2236,0,5,2236
Torreya californica,north,306,684,684,NA,NA,NA
Tsuga heterophylla,north,72,184,3988,12,62,4385
Tsuga mertensiana,north,0,532,1881,0,89,790
Umbellularia californica,north,926,4001,4039,190,481,635
Vauquelinia californica,north,0,0,8,NA,NA,NA
Washingtonia filifera,north,0,514,63,NA,NA,NA
Weinmannia trichosperma,south,0,0,0,NA,NA,NA
Yucca brevifolia,north,0,1050,55,NA,NA,NA
Ziziphus obtusifolia,north,0,155,20,NA,NA,NA
Abies balsamea,north,NA,NA,NA,0,0,0
Abies shastensis,north,NA,NA,NA,0,75,291
Acacia farnesiana,north,NA,NA,NA,0,0,0
Acer barbatum,north,NA,NA,NA,0,0,0
Acer grandidentatum,north,NA,NA,NA,0,0,0
Acer nigrum,north,NA,NA,NA,0,0,0
Acer pensylvanicum,north,NA,NA,NA,0,0,0
Acer platanoides,north,NA,NA,NA,0,0,1
Acer rubrum,north,NA,NA,NA,0,0,0
Acer saccharinum,north,NA,NA,NA,0,0,0
Acer saccharum,north,NA,NA,NA,0,0,0
Acer spicatum,north,NA,NA,NA,0,0,0
Aesculus flava,north,NA,NA,NA,0,0,0
Aesculus glabra,north,NA,NA,NA,0,0,0
Ailanthus altissima,north,NA,NA,NA,0,1,3
Albizia julibrissin,north,NA,NA,NA,0,0,0
Alnus rhombifolia,north,NA,NA,NA,6,94,117
Amelanchier arborea,north,NA,NA,NA,0,0,0
Asimina triloba,north,NA,NA,NA,0,0,0
Betula alleghaniensis,north,NA,NA,NA,0,0,0
Betula lenta,north,NA,NA,NA,0,0,0
Betula nigra,north,NA,NA,NA,0,0,0
Betula populifolia,north,NA,NA,NA,0,0,0
Carpinus caroliniana,north,NA,NA,NA,0,0,0
Carya alba,north,NA,NA,NA,0,0,0
Carya aquatica,north,NA,NA,NA,0,0,0
Carya cordiformis,north,NA,NA,NA,0,0,0
Carya glabra,north,NA,NA,NA,0,0,0
Carya illinoinensis,north,NA,NA,NA,0,0,0
Carya laciniosa,north,NA,NA,NA,0,0,0
Carya ovata,north,NA,NA,NA,0,0,0
Carya pallida,north,NA,NA,NA,0,0,0
Carya texana,north,NA,NA,NA,0,0,0
Castanea dentata,north,NA,NA,NA,0,0,0
Celtis laevigata,north,NA,NA,NA,0,0,0
Celtis occidentalis,north,NA,NA,NA,0,0,0
Cercis canadensis,north,NA,NA,NA,0,0,0
Cercocarpus ledifolius,north,NA,NA,NA,0,250,220
Chamaecyparis nootkatensis,north,NA,NA,NA,0,0,183
