id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
75	Fern	Pteridaceae	Cheilanthes intertexta	Cheilanthes intertexta	Cheilanthes intertexta (Maxon) Maxon	Cheilanthes	intertexta	(Maxon) Maxon				1	1	0	1
76	Fern	Pteridaceae	Cheilanthes newberryi	Cheilanthes newberryi	Cheilanthes newberryi (D.C. Eaton) Domin	Cheilanthes	newberryi	(D.C. Eaton) Domin				1	1	0	1
77	Fern	Pteridaceae	Cheilanthes parryi	Cheilanthes parryi	Cheilanthes parryi (D.C. Eaton) Domin	Cheilanthes	parryi	(D.C. Eaton) Domin				1	1	0	1
78	Fern	Pteridaceae	Cheilanthes viscida	Cheilanthes viscida	Cheilanthes viscida Davenp.	Cheilanthes	viscida	Davenp.				1	1	0	1
79	Fern	Pteridaceae	Cheilanthes wootonii	Cheilanthes wootonii	Cheilanthes wootonii Maxon	Cheilanthes	wootonii	Maxon				1	1	0	1
80	Fern	Pteridaceae	Cryptogramma acrostichoides	Cryptogramma acrostichoides	Cryptogramma acrostichoides R. Br.	Cryptogramma	acrostichoides	R. Br.				1	1	0	1
81	Fern	Pteridaceae	Cryptogramma cascadensis	Cryptogramma cascadensis	Cryptogramma cascadensis E. Alverson	Cryptogramma	cascadensis	E. Alverson				1	1	0	1
82	Fern	Pteridaceae	Notholaena californica	Notholaena californica	Notholaena californica D.C. Eaton	Notholaena	californica	D.C. Eaton				1	1	0	1
83	Fern	Pteridaceae	Pellaea andromedifolia	Pellaea andromedifolia	Pellaea andromedifolia (Kaulf.) Fée	Pellaea	andromedifolia	(Kaulf.) Fée 				1	1	0	1
84	Fern	Pteridaceae	Pellaea brachyptera	Pellaea brachyptera	Pellaea brachyptera (T. Moore) Baker	Pellaea	brachyptera	(T. Moore) Baker				1	1	0	1
85	Fern	Pteridaceae	Pellaea breweri	Pellaea breweri	Pellaea breweri D.C. Eaton	Pellaea	breweri	D.C. Eaton				1	1	0	1
86	Fern	Pteridaceae	Pellaea bridgesii	Pellaea bridgesii	Pellaea bridgesii Hook.	Pellaea	bridgesii	Hook.				1	1	0	1
87	Fern	Pteridaceae	Pellaea mucronata	Pellaea mucronata	Pellaea mucronata (D.C. Eaton) D.C. Eaton	Pellaea	mucronata	(D.C. Eaton) D.C. Eaton				1	0	0	1
88	Fern	Pteridaceae	Pellaea mucronata var. californica	Pellaea mucronata	Pellaea mucronata (D.C. Eaton) D.C. Eaton var. californica (Lemmon) Munz & I.M. Johnst.	Pellaea	mucronata	(D.C. Eaton) D.C. Eaton	var.	californica	(Lemmon) Munz & I.M. Johnst.	1	1	1	0
89	Fern	Pteridaceae	Pellaea mucronata var. mucronata	Pellaea mucronata	Pellaea mucronata (D.C. Eaton) D.C. Eaton var. mucronata	Pellaea	mucronata	(D.C. Eaton) D.C. Eaton	var.	mucronata		1	1	1	0
90	Fern	Pteridaceae	Pellaea truncata	Pellaea truncata	Pellaea truncata Goodd.	Pellaea	truncata	Goodd.				1	1	0	1
